overall_rank,overall_score,overall_raw_score,top_marks_rank,top_marks_score,top_marks_raw_score,enjoyment_rank,enjoyment_score,enjoyment_raw_score,creativity_rank,creativity_score,creativity_raw_score,presentation_rank,presentation_score,presentation_raw_score
#1764,3.128,3.128,n/a,n/a,n/a,#2139,2.808,2.808,#1952,3.154,3.154,#1433,3.423,3.423
#1766,3.128,3.128,n/a,n/a,n/a,#1630,3.019,3.019,#1630,3.269,3.269,#2143,3.096,3.096
#1767,3.127,3.700,n/a,n/a,n/a,#989,3.296,3.900,#2957,2.789,3.300,#1675,3.296,3.900
#1767,3.127,3.700,n/a,n/a,n/a,#989,3.296,3.900,#2957,2.789,3.300,#1675,3.296,3.900
#1769,3.125,3.125,n/a,n/a,n/a,#1083,3.250,3.250,#3186,2.692,2.692,#1420,3.433,3.433
#1769,3.125,3.125,n/a,n/a,n/a,#1811,2.938,2.938,#1522,3.313,3.313,#2076,3.125,3.125
#1769,3.125,3.125,n/a,n/a,n/a,#1083,3.250,3.250,#3191,2.688,2.688,#1405,3.438,3.438
#1772,3.125,3.125,n/a,n/a,n/a,#1021,3.281,3.281,#1677,3.250,3.250,#2674,2.844,2.844
#1773,3.123,3.123,n/a,n/a,n/a,#2446,2.684,2.684,#2253,3.053,3.053,#1026,3.632,3.632
#1773,3.123,3.123,n/a,n/a,n/a,#861,3.368,3.368,#2514,2.947,2.947,#2229,3.053,3.053
#1773,3.123,3.123,n/a,n/a,n/a,#1787,2.947,2.947,#1248,3.421,3.421,#2322,3.000,3.000
#1776,3.123,3.123,n/a,n/a,n/a,#2303,2.742,2.742,#1676,3.252,3.252,#1532,3.374,3.374
#1777,3.119,3.119,n/a,n/a,n/a,#1985,2.857,2.857,#1421,3.357,3.357,#2004,3.143,3.143
#1777,3.119,3.119,n/a,n/a,n/a,#3337,2.357,2.357,#1050,3.500,3.500,#1251,3.500,3.500
#1779,3.119,3.119,n/a,n/a,n/a,#2568,2.643,2.643,#878,3.571,3.571,#2004,3.143,3.143
#1779,3.119,3.119,n/a,n/a,n/a,#1175,3.214,3.214,#2592,2.929,2.929,#1840,3.214,3.214
#1779,3.119,3.119,n/a,n/a,n/a,#1175,3.214,3.214,#2757,2.857,2.857,#1697,3.286,3.286
#1782,3.118,4.125,n/a,n/a,n/a,#1190,3.213,4.250,#2053,3.118,4.125,#2302,3.024,4.000
#1782,3.118,4.125,n/a,n/a,n/a,#2060,2.835,3.750,#1797,3.213,4.250,#1651,3.307,4.375
#1784,3.118,3.889,n/a,n/a,n/a,#1804,2.940,3.667,#2056,3.118,3.889,#1671,3.296,4.111
#1784,3.118,3.889,n/a,n/a,n/a,#1621,3.029,3.778,#2536,2.940,3.667,#1500,3.385,4.222
#1786,3.118,3.118,n/a,n/a,n/a,#1927,2.882,2.882,#1274,3.412,3.412,#2214,3.059,3.059
#1786,3.118,3.118,n/a,n/a,n/a,#1119,3.235,3.235,#1898,3.176,3.176,#2456,2.941,2.941
#1786,3.118,3.118,n/a,n/a,n/a,#1642,3.000,3.000,#366,3.882,3.882,#3529,2.471,2.471
#1789,3.118,3.118,n/a,n/a,n/a,#1927,2.882,2.882,#1574,3.294,3.294,#1935,3.176,3.176
#1789,3.118,3.118,n/a,n/a,n/a,#2549,2.647,2.647,#1274,3.412,3.412,#1683,3.294,3.294
#1791,3.117,3.117,n/a,n/a,n/a,#1642,3.000,3.000,#1445,3.350,3.350,#2322,3.000,3.000
#1792,3.116,3.116,n/a,n/a,n/a,#1463,3.087,3.087,#1453,3.348,3.348,#2515,2.913,2.913
#1792,3.116,3.116,n/a,n/a,n/a,#2535,2.652,2.652,#913,3.565,3.565,#2056,3.130,3.130
#1794,3.116,3.515,n/a,n/a,n/a,#1520,3.062,3.455,#1755,3.223,3.636,#2201,3.062,3.455
#1794,3.116,3.515,n/a,n/a,n/a,#3612,2.256,2.545,#2443,2.982,3.364,#369,4.110,4.636
#1796,3.116,3.515,n/a,n/a,n/a,#2097,2.820,3.182,#1755,3.223,3.636,#1658,3.304,3.727
#1796,3.116,3.515,n/a,n/a,n/a,#2314,2.740,3.091,#495,3.787,4.273,#2728,2.820,3.182
#1798,3.115,3.115,n/a,n/a,n/a,#1355,3.138,3.138,#2362,3.000,3.000,#1872,3.207,3.207
#1799,3.114,3.114,n/a,n/a,n/a,#1415,3.114,3.114,#1521,3.314,3.314,#2513,2.914,2.914
#1800,3.113,3.231,n/a,n/a,n/a,#2698,2.594,2.692,#939,3.558,3.692,#1908,3.187,3.308
#1800,3.113,3.231,n/a,n/a,n/a,#3096,2.446,2.538,#767,3.632,3.769,#1741,3.261,3.385
#1800,3.113,3.231,n/a,n/a,n/a,#2698,2.594,2.692,#1875,3.187,3.308,#1154,3.558,3.692
#1800,3.113,3.231,n/a,n/a,n/a,#3096,2.446,2.538,#2085,3.113,3.231,#800,3.780,3.923
#1800,3.113,3.231,n/a,n/a,n/a,#2698,2.594,2.692,#1655,3.261,3.385,#1297,3.484,3.615
#1805,3.112,3.361,n/a,n/a,n/a,#2416,2.700,2.917,#790,3.626,3.917,#2316,3.009,3.250
#1806,3.111,3.111,n/a,n/a,n/a,#1602,3.037,3.037,#2903,2.815,2.815,#1313,3.481,3.481
#1806,3.111,3.111,n/a,n/a,n/a,#1971,2.867,2.867,#1306,3.400,3.400,#2191,3.067,3.067
#1808,3.111,3.111,n/a,n/a,n/a,#1808,2.939,2.939,#873,3.576,3.576,#2732,2.818,2.818
#1808,3.111,3.111,n/a,n/a,n/a,#1642,3.000,3.000,#1615,3.278,3.278,#2222,3.056,3.056
#1808,3.111,3.111,n/a,n/a,n/a,#2602,2.625,2.625,#695,3.667,3.667,#2260,3.042,3.042
#1808,3.111,3.111,n/a,n/a,n/a,#1332,3.148,3.148,#3050,2.741,2.741,#1393,3.444,3.444
#1808,3.111,3.111,n/a,n/a,n/a,#2736,2.583,2.583,#548,3.750,3.750,#2322,3.000,3.000
#1813,3.111,3.111,n/a,n/a,n/a,#2494,2.667,2.667,#695,3.667,3.667,#2322,3.000,3.000
#1813,3.111,3.111,n/a,n/a,n/a,#3236,2.394,2.394,#1624,3.273,3.273,#969,3.667,3.667
#1813,3.111,3.111,n/a,n/a,n/a,#3569,2.273,2.273,#1044,3.515,3.515,#1190,3.545,3.545
#1813,3.111,3.111,n/a,n/a,n/a,#3370,2.333,2.333,#2243,3.056,3.056,#557,3.944,3.944
#1817,3.110,3.110,n/a,n/a,n/a,#3087,2.450,2.450,#1378,3.380,3.380,#1251,3.500,3.500
#1818,3.109,3.109,n/a,n/a,n/a,#2467,2.674,2.674,#2135,3.093,3.093,#1153,3.558,3.558
#1819,3.108,3.108,n/a,n/a,n/a,#1783,2.950,2.950,#877,3.575,3.575,#2763,2.800,2.800
#1820,3.107,3.107,n/a,n/a,n/a,#2945,2.500,2.500,#2183,3.071,3.071,#837,3.750,3.750
#1821,3.107,3.107,n/a,n/a,n/a,#932,3.320,3.320,#3424,2.600,2.600,#1458,3.400,3.400
#1822,3.106,3.106,n/a,n/a,n/a,#1359,3.136,3.136,#761,3.636,3.636,#3353,2.545,2.545
#1822,3.106,3.106,n/a,n/a,n/a,#1261,3.182,3.182,#1294,3.409,3.409,#2958,2.727,2.727
#1822,3.106,3.106,n/a,n/a,n/a,#1454,3.091,3.091,#1050,3.500,3.500,#2958,2.727,2.727
#1825,3.106,3.106,n/a,n/a,n/a,#1034,3.273,3.273,#1889,3.182,3.182,#2617,2.864,2.864
#1826,3.105,3.105,n/a,n/a,n/a,#2717,2.592,2.592,#1645,3.263,3.263,#1370,3.461,3.461
#1826,3.105,3.105,n/a,n/a,n/a,#2328,2.737,2.737,#1400,3.368,3.368,#1859,3.211,3.211
#1828,3.105,3.105,n/a,n/a,n/a,#1540,3.053,3.053,#1248,3.421,3.421,#2675,2.842,2.842
#1829,3.104,3.104,n/a,n/a,n/a,#2667,2.611,2.611,#2926,2.802,2.802,#621,3.901,3.901
#1830,3.104,3.104,n/a,n/a,n/a,#2441,2.688,2.688,#2214,3.063,3.063,#1146,3.563,3.563
#1831,3.104,3.104,n/a,n/a,n/a,#907,3.333,3.333,#1634,3.267,3.267,#2979,2.711,2.711
#1832,3.103,3.103,n/a,n/a,n/a,#1642,3.000,3.000,#854,3.586,3.586,#2963,2.724,2.724
#1833,3.103,3.103,n/a,n/a,n/a,#1383,3.128,3.128,#2176,3.077,3.077,#2135,3.103,3.103
#1834,3.103,3.103,n/a,n/a,n/a,#1410,3.115,3.115,#2474,2.962,2.962,#1802,3.231,3.231
#1834,3.103,3.103,n/a,n/a,n/a,#1046,3.269,3.269,#518,3.769,3.769,#4001,2.269,2.269
#1836,3.101,3.101,n/a,n/a,n/a,#1566,3.043,3.043,#1776,3.217,3.217,#2254,3.043,3.043
#1837,3.101,3.101,n/a,n/a,n/a,#1769,2.957,2.957,#2275,3.043,3.043,#1653,3.304,3.304
#1838,3.101,3.101,n/a,n/a,n/a,#975,3.303,3.303,#2813,2.848,2.848,#1993,3.152,3.152
#1839,3.101,3.101,n/a,n/a,n/a,#1515,3.063,3.063,#3205,2.683,2.683,#1158,3.556,3.556
#1840,3.100,3.100,n/a,n/a,n/a,#1898,2.900,2.900,#1823,3.200,3.200,#1880,3.200,3.200
#1841,3.099,3.667,n/a,n/a,n/a,#2187,2.789,3.300,#2715,2.874,3.400,#1022,3.634,4.300
#1841,3.099,3.667,n/a,n/a,n/a,#1569,3.043,3.600,#2032,3.127,3.700,#2065,3.127,3.700
#1843,3.099,3.099,n/a,n/a,n/a,#3608,2.259,2.259,#2098,3.111,3.111,#593,3.926,3.926
#1844,3.098,3.098,n/a,n/a,n/a,#1642,3.000,3.000,#2691,2.882,2.882,#1441,3.412,3.412
#1844,3.098,3.098,n/a,n/a,n/a,#1059,3.265,3.265,#2064,3.118,3.118,#2518,2.912,2.912
#1844,3.098,3.098,n/a,n/a,n/a,#1404,3.118,3.118,#1898,3.176,3.176,#2322,3.000,3.000
#1844,3.098,3.098,n/a,n/a,n/a,#2089,2.824,2.824,#2861,2.824,2.824,#1001,3.647,3.647
#1848,3.098,3.098,n/a,n/a,n/a,#1642,3.000,3.000,#2362,3.000,3.000,#1683,3.294,3.294
#1848,3.098,3.098,n/a,n/a,n/a,#1527,3.059,3.059,#2064,3.118,3.118,#2098,3.118,3.118
#1850,3.098,3.098,n/a,n/a,n/a,#1395,3.122,3.122,#2921,2.805,2.805,#1540,3.366,3.366
#1851,3.097,3.097,n/a,n/a,n/a,#1575,3.042,3.042,#1470,3.333,3.333,#2507,2.917,2.917
#1852,3.095,3.095,n/a,n/a,n/a,#1495,3.071,3.071,#1421,3.357,3.357,#2624,2.857,2.857
#1853,3.095,3.095,n/a,n/a,n/a,#1005,3.286,3.286,#1050,3.500,3.500,#3467,2.500,2.500
#1854,3.095,3.095,n/a,n/a,n/a,#1341,3.143,3.143,#2757,2.857,2.857,#1697,3.286,3.286
#1854,3.095,3.095,n/a,n/a,n/a,#3256,2.381,2.381,#1587,3.286,3.286,#1055,3.619,3.619
#1854,3.095,3.095,n/a,n/a,n/a,#1642,3.000,3.000,#3343,2.629,2.629,#983,3.657,3.657
#1854,3.095,3.095,n/a,n/a,n/a,#1778,2.952,2.952,#1587,3.286,3.286,#2242,3.048,3.048
#1858,3.094,3.094,n/a,n/a,n/a,#1736,2.969,2.969,#2036,3.125,3.125,#1902,3.188,3.188
#1859,3.093,3.093,n/a,n/a,n/a,#2144,2.806,2.806,#950,3.556,3.556,#2507,2.917,2.917
#1860,3.093,3.093,n/a,n/a,n/a,#1286,3.167,3.167,#1348,3.389,3.389,#2965,2.722,2.722
#1862,3.092,3.092,n/a,n/a,n/a,#2531,2.655,2.655,#2362,3.000,3.000,#1049,3.621,3.621
#1863,3.091,3.091,n/a,n/a,n/a,#3308,2.364,2.364,#1470,3.333,3.333,#1125,3.576,3.576
#1863,3.091,3.091,n/a,n/a,n/a,#1642,3.000,3.000,#2546,2.939,2.939,#1591,3.333,3.333
#1863,3.091,3.091,n/a,n/a,n/a,#1359,3.136,3.136,#2271,3.045,3.045,#2150,3.091,3.091
#1866,3.090,3.090,n/a,n/a,n/a,#2341,2.731,2.731,#2076,3.115,3.115,#1433,3.423,3.423
#1867,3.089,3.485,n/a,n/a,n/a,#3169,2.417,2.727,#1755,3.223,3.636,#1031,3.626,4.091
#1867,3.089,3.485,n/a,n/a,n/a,#2097,2.820,3.182,#1549,3.304,3.727,#2026,3.143,3.545
#1867,3.089,3.485,n/a,n/a,n/a,#970,3.304,3.727,#2872,2.820,3.182,#2026,3.143,3.545
#1870,3.089,3.089,n/a,n/a,n/a,#2855,2.533,2.533,#462,3.800,3.800,#2475,2.933,2.933
#1870,3.089,3.089,n/a,n/a,n/a,#2676,2.600,2.600,#1823,3.200,3.200,#1351,3.467,3.467
#1870,3.089,3.089,n/a,n/a,n/a,#1307,3.158,3.158,#2180,3.075,3.075,#2282,3.033,3.033
#1873,3.089,3.089,n/a,n/a,n/a,#1610,3.033,3.033,#2121,3.100,3.100,#2046,3.133,3.133
#1874,3.089,3.205,n/a,n/a,n/a,#1250,3.187,3.308,#1462,3.336,3.462,#2887,2.743,2.846
#1874,3.089,3.205,n/a,n/a,n/a,#1587,3.039,3.154,#1875,3.187,3.308,#2266,3.039,3.154
#1876,3.088,3.852,n/a,n/a,n/a,#1401,3.118,3.889,#2056,3.118,3.889,#2292,3.029,3.778
#1876,3.088,3.852,n/a,n/a,n/a,#2022,2.851,3.556,#2795,2.851,3.556,#1143,3.563,4.444
#1878,3.088,3.088,n/a,n/a,n/a,#1876,2.912,2.912,#1050,3.500,3.500,#2650,2.853,2.853
#1879,3.088,3.088,n/a,n/a,n/a,#2549,2.647,2.647,#1274,3.412,3.412,#1875,3.206,3.206
#1880,3.088,3.088,n/a,n/a,n/a,#1062,3.263,3.263,#2902,2.816,2.816,#1917,3.184,3.184
#1880,3.088,3.088,n/a,n/a,n/a,#2446,2.684,2.684,#1645,3.263,3.263,#1638,3.316,3.316
#1882,3.087,3.087,n/a,n/a,n/a,#1966,2.870,2.870,#1776,3.217,3.217,#1947,3.174,3.174
#1883,3.087,3.087,n/a,n/a,n/a,#2668,2.609,2.609,#2730,2.870,2.870,#793,3.783,3.783
#1884,3.086,3.333,n/a,n/a,n/a,#1295,3.163,3.417,#1703,3.240,3.500,#2642,2.855,3.083
#1884,3.086,3.333,n/a,n/a,n/a,#1295,3.163,3.417,#1928,3.163,3.417,#2480,2.932,3.167
#1886,3.086,3.086,n/a,n/a,n/a,#693,3.455,3.455,#2622,2.909,2.909,#2552,2.894,2.894
#1887,3.083,3.083,n/a,n/a,n/a,#2369,2.714,2.714,#1166,3.464,3.464,#2180,3.071,3.071
#1888,3.083,3.083,n/a,n/a,n/a,#3087,2.450,2.450,#1198,3.450,3.450,#1571,3.350,3.350
#1888,3.083,3.083,n/a,n/a,n/a,#2270,2.750,2.750,#663,3.688,3.688,#2751,2.813,2.813
#1888,3.083,3.083,n/a,n/a,n/a,#2065,2.833,2.833,#626,3.708,3.708,#2981,2.708,2.708
#1891,3.083,3.083,n/a,n/a,n/a,#724,3.438,3.438,#2704,2.875,2.875,#2470,2.938,2.938
#1891,3.083,3.083,n/a,n/a,n/a,#2026,2.850,2.850,#1677,3.250,3.250,#1995,3.150,3.150
#1891,3.083,3.083,n/a,n/a,n/a,#2270,2.750,2.750,#2259,3.050,3.050,#1383,3.450,3.450
#1891,3.083,3.083,n/a,n/a,n/a,#1083,3.250,3.250,#2704,2.875,2.875,#2076,3.125,3.125
#1895,3.083,3.083,n/a,n/a,n/a,#1451,3.095,3.095,#878,3.571,3.571,#3273,2.581,2.581
#1896,3.080,3.080,n/a,n/a,n/a,#2929,2.517,2.517,#2202,3.069,3.069,#986,3.655,3.655
#1896,3.080,3.080,n/a,n/a,n/a,#2438,2.690,2.690,#660,3.690,3.690,#2622,2.862,2.862
#1898,3.080,3.080,n/a,n/a,n/a,#1863,2.920,2.920,#3633,2.520,2.520,#762,3.800,3.800
#1899,3.080,3.080,n/a,n/a,n/a,#2065,2.833,2.833,#2980,2.781,2.781,#1037,3.625,3.625
#1900,3.078,3.078,n/a,n/a,n/a,#1337,3.147,3.147,#3082,2.735,2.735,#1563,3.353,3.353
#1901,3.078,3.078,n/a,n/a,n/a,#1642,3.000,3.000,#2524,2.941,2.941,#1683,3.294,3.294
#1902,3.078,3.078,n/a,n/a,n/a,#2065,2.833,2.833,#1306,3.400,3.400,#2322,3.000,3.000
#1903,3.077,3.077,n/a,n/a,n/a,#1857,2.923,2.923,#2176,3.077,3.077,#1802,3.231,3.231
#1903,3.077,3.077,n/a,n/a,n/a,#1410,3.115,3.115,#2474,2.962,2.962,#1981,3.154,3.154
#1905,3.076,3.076,n/a,n/a,n/a,#935,3.318,3.318,#3107,2.727,2.727,#1920,3.182,3.182
#1905,3.076,3.076,n/a,n/a,n/a,#866,3.364,3.364,#3651,2.500,2.500,#1541,3.364,3.364
#1907,3.076,3.076,n/a,n/a,n/a,#1879,2.909,2.909,#2004,3.136,3.136,#1920,3.182,3.182
#1907,3.076,3.076,n/a,n/a,n/a,#2350,2.727,2.727,#1184,3.455,3.455,#2250,3.045,3.045
#1909,3.075,3.075,n/a,n/a,n/a,#2386,2.710,2.710,#2325,3.032,3.032,#1305,3.484,3.484
#1910,3.075,3.075,n/a,n/a,n/a,#1876,2.912,2.912,#2923,2.804,2.804,#1247,3.510,3.510
#1911,3.074,3.074,n/a,n/a,n/a,#1428,3.111,3.111,#950,3.556,3.556,#3317,2.556,2.556
#1911,3.074,3.074,n/a,n/a,n/a,#1154,3.222,3.222,#3706,2.472,2.472,#1220,3.528,3.528
#1911,3.074,3.074,n/a,n/a,n/a,#2121,2.815,2.815,#783,3.630,3.630,#2819,2.778,2.778
#1914,3.074,3.074,n/a,n/a,n/a,#2355,2.722,2.722,#354,3.889,3.889,#3214,2.611,2.611
#1915,3.073,3.073,n/a,n/a,n/a,#2055,2.838,2.838,#1092,3.495,3.495,#2573,2.886,2.886
#1916,3.072,3.072,n/a,n/a,n/a,#1364,3.135,3.135,#2362,3.000,3.000,#2173,3.081,3.081
#1917,3.071,3.071,n/a,n/a,n/a,#1495,3.071,3.071,#1228,3.429,3.429,#2969,2.714,2.714
#1917,3.071,3.071,n/a,n/a,n/a,#1341,3.143,3.143,#1421,3.357,3.357,#2969,2.714,2.714
#1919,3.071,3.071,n/a,n/a,n/a,#1642,3.000,3.000,#1785,3.214,3.214,#2322,3.000,3.000
#1920,3.071,3.633,n/a,n/a,n/a,#1569,3.043,3.600,#1568,3.296,3.900,#2597,2.874,3.400
#1920,3.071,3.633,n/a,n/a,n/a,#2187,2.789,3.300,#1568,3.296,3.900,#2065,3.127,3.700
#1920,3.071,3.633,n/a,n/a,n/a,#1569,3.043,3.600,#2280,3.043,3.600,#2065,3.127,3.700
#1923,3.071,3.633,n/a,n/a,n/a,#1196,3.212,3.800,#3562,2.535,3.000,#1355,3.465,4.100
#1924,3.070,3.070,n/a,n/a,n/a,#2675,2.605,2.605,#2111,3.105,3.105,#1251,3.500,3.500
#1925,3.069,3.069,n/a,n/a,n/a,#1642,3.000,3.000,#2155,3.083,3.083,#2076,3.125,3.125
#1925,3.069,3.069,n/a,n/a,n/a,#907,3.333,3.333,#2155,3.083,3.083,#2787,2.792,2.792
#1927,3.069,3.069,n/a,n/a,n/a,#1102,3.241,3.241,#1915,3.172,3.172,#2786,2.793,2.793
#1928,3.067,3.067,n/a,n/a,n/a,#1510,3.067,3.067,#2010,3.133,3.133,#2322,3.000,3.000
#1928,3.067,3.067,n/a,n/a,n/a,#2855,2.533,2.533,#1470,3.333,3.333,#1591,3.333,3.333
#1928,3.067,3.067,n/a,n/a,n/a,#2148,2.800,2.800,#2206,3.067,3.067,#1591,3.333,3.333
#1931,3.067,3.067,n/a,n/a,n/a,#1056,3.267,3.267,#2927,2.800,2.800,#2046,3.133,3.133
#1931,3.067,3.067,n/a,n/a,n/a,#1819,2.933,2.933,#2557,2.933,2.933,#1591,3.333,3.333
#1931,3.067,3.067,n/a,n/a,n/a,#1758,2.960,2.960,#1823,3.200,3.200,#2264,3.040,3.040
#1931,3.067,3.067,n/a,n/a,n/a,#2148,2.800,2.800,#1555,3.300,3.300,#2137,3.100,3.100
#1931,3.067,3.067,n/a,n/a,n/a,#1971,2.867,2.867,#1008,3.533,3.533,#2763,2.800,2.800
#1936,3.065,3.065,n/a,n/a,n/a,#1642,3.000,3.000,#1968,3.146,3.146,#2241,3.049,3.049
#1937,3.065,3.065,n/a,n/a,n/a,#2662,2.611,2.611,#2155,3.083,3.083,#1251,3.500,3.500
#1938,3.065,3.065,n/a,n/a,n/a,#2567,2.645,2.645,#1585,3.290,3.290,#1758,3.258,3.258
#1939,3.064,4.333,n/a,n/a,n/a,#1837,2.929,4.143,#2328,3.030,4.286,#1798,3.232,4.571
#1940,3.064,3.064,n/a,n/a,n/a,#1319,3.154,3.154,#1540,3.308,3.308,#2936,2.731,2.731
#1941,3.064,3.179,n/a,n/a,n/a,#2112,2.817,2.923,#2459,2.965,3.077,#1445,3.410,3.538
#1942,3.064,3.179,n/a,n/a,n/a,#1417,3.113,3.231,#1875,3.187,3.308,#2555,2.891,3.000
#1942,3.064,3.179,n/a,n/a,n/a,#1417,3.113,3.231,#1286,3.410,3.538,#3059,2.668,2.769
#1944,3.063,3.063,n/a,n/a,n/a,#1985,2.857,2.857,#1859,3.190,3.190,#2004,3.143,3.143
#1944,3.063,3.063,n/a,n/a,n/a,#1107,3.238,3.238,#1970,3.143,3.143,#2757,2.810,2.810
#1946,3.063,3.063,n/a,n/a,n/a,#1943,2.875,2.875,#1677,3.250,3.250,#2195,3.063,3.063
#1946,3.063,3.063,n/a,n/a,n/a,#1516,3.063,3.063,#2214,3.063,3.063,#2195,3.063,3.063
#1948,3.062,3.455,n/a,n/a,n/a,#1351,3.143,3.545,#2639,2.901,3.273,#2026,3.143,3.545
#1949,3.062,3.062,n/a,n/a,n/a,#2121,2.815,2.815,#1470,3.333,3.333,#2278,3.037,3.037
#1950,3.061,3.061,n/a,n/a,n/a,#1003,3.289,3.289,#1645,3.263,3.263,#3147,2.632,2.632
#1951,3.061,3.061,n/a,n/a,n/a,#2833,2.545,2.545,#1184,3.455,3.455,#1920,3.182,3.182
#1952,3.060,3.306,n/a,n/a,n/a,#2011,2.855,3.083,#2146,3.086,3.333,#1778,3.240,3.500
#1953,3.060,3.306,n/a,n/a,n/a,#3239,2.392,2.583,#1332,3.395,3.667,#1479,3.395,3.667
#1954,3.060,3.060,n/a,n/a,n/a,#1758,2.960,2.960,#2290,3.040,3.040,#1929,3.180,3.180
#1955,3.060,3.060,n/a,n/a,n/a,#2173,2.795,2.795,#2605,2.923,2.923,#1365,3.462,3.462
#1956,3.059,3.059,n/a,n/a,n/a,#3992,2.118,2.118,#637,3.706,3.706,#1563,3.353,3.353
#1957,3.059,3.059,n/a,n/a,n/a,#993,3.294,3.294,#2861,2.824,2.824,#2214,3.059,3.059
#1957,3.059,3.059,n/a,n/a,n/a,#1119,3.235,3.235,#2861,2.824,2.824,#2098,3.118,3.118
#1959,3.059,3.815,n/a,n/a,n/a,#2250,2.762,3.444,#2333,3.029,3.778,#1500,3.385,4.222
#1959,3.059,3.815,n/a,n/a,n/a,#1621,3.029,3.778,#1564,3.296,4.111,#2652,2.851,3.556
#1959,3.059,3.815,n/a,n/a,n/a,#2022,2.851,3.556,#2536,2.940,3.667,#1500,3.385,4.222
#1959,3.059,3.815,n/a,n/a,n/a,#1401,3.118,3.889,#1564,3.296,4.111,#2852,2.762,3.444
#1959,3.059,3.815,n/a,n/a,n/a,#2250,2.762,3.444,#2056,3.118,3.889,#1671,3.296,4.111
#1964,3.058,3.058,n/a,n/a,n/a,#1728,2.975,2.975,#3549,2.550,2.550,#992,3.650,3.650
#1965,3.058,3.058,n/a,n/a,n/a,#1463,3.087,3.087,#2730,2.870,2.870,#1832,3.217,3.217
#1966,3.057,3.057,n/a,n/a,n/a,#1355,3.138,3.138,#3772,2.448,2.448,#1108,3.586,3.586
#1966,3.057,3.057,n/a,n/a,n/a,#2175,2.793,2.793,#2117,3.103,3.103,#1721,3.276,3.276
#1968,3.057,3.057,n/a,n/a,n/a,#1801,2.943,2.943,#1177,3.457,3.457,#2841,2.771,2.771
#1969,3.056,3.056,n/a,n/a,n/a,#1874,2.915,2.915,#2649,2.898,2.898,#1561,3.356,3.356
#1970,3.056,3.056,n/a,n/a,n/a,#1204,3.208,3.208,#2036,3.125,3.125,#2699,2.833,2.833
#1970,3.056,3.056,n/a,n/a,n/a,#1154,3.222,3.222,#2674,2.889,2.889,#2222,3.056,3.056
#1972,3.056,3.056,n/a,n/a,n/a,#2945,2.500,2.500,#950,3.556,3.556,#2123,3.111,3.111
#1972,3.056,3.056,n/a,n/a,n/a,#2881,2.528,2.528,#1130,3.472,3.472,#1953,3.167,3.167
#1972,3.056,3.056,n/a,n/a,n/a,#2855,2.533,2.533,#3336,2.633,2.633,#469,4.000,4.000
#1975,3.054,3.054,n/a,n/a,n/a,#3077,2.452,2.452,#2129,3.097,3.097,#1067,3.613,3.613
#1976,3.053,3.053,n/a,n/a,n/a,#1938,2.880,2.880,#829,3.600,3.600,#3041,2.680,2.680
#1977,3.053,3.053,n/a,n/a,n/a,#1304,3.160,3.160,#1823,3.200,3.200,#2763,2.800,2.800
#1977,3.053,3.053,n/a,n/a,n/a,#2264,2.760,2.760,#934,3.560,3.560,#2683,2.840,2.840
#1979,3.053,3.053,n/a,n/a,n/a,#1642,3.000,3.000,#2362,3.000,3.000,#1972,3.158,3.158
#1980,3.051,3.051,n/a,n/a,n/a,#2843,2.538,2.538,#753,3.641,3.641,#2392,2.974,2.974
#1980,3.051,3.051,n/a,n/a,n/a,#1925,2.885,2.885,#2605,2.923,2.923,#1577,3.346,3.346
#1982,3.051,3.051,n/a,n/a,n/a,#2932,2.515,2.515,#985,3.545,3.545,#2150,3.091,3.091
#1983,3.050,3.050,n/a,n/a,n/a,#1642,3.000,3.000,#3986,2.358,2.358,#775,3.792,3.792
#1984,3.050,3.050,n/a,n/a,n/a,#2148,2.800,2.800,#1050,3.500,3.500,#2664,2.850,2.850
#1985,3.050,3.050,n/a,n/a,n/a,#3482,2.300,2.300,#1958,3.150,3.150,#939,3.700,3.700
#1986,3.049,3.049,n/a,n/a,n/a,#2212,2.778,2.778,#1919,3.167,3.167,#1878,3.204,3.204
#1987,3.049,3.049,n/a,n/a,n/a,#1642,3.000,3.000,#2637,2.902,2.902,#1775,3.244,3.244
#1987,3.049,3.049,n/a,n/a,n/a,#2934,2.512,2.512,#2182,3.073,3.073,#1150,3.561,3.561
#1989,3.048,3.048,n/a,n/a,n/a,#1513,3.065,3.065,#3520,2.565,2.565,#1240,3.516,3.516
#1990,3.048,3.048,n/a,n/a,n/a,#2945,2.500,2.500,#749,3.643,3.643,#2322,3.000,3.000
#1990,3.048,3.048,n/a,n/a,n/a,#1985,2.857,2.857,#2183,3.071,3.071,#1840,3.214,3.214
#1990,3.048,3.048,n/a,n/a,n/a,#607,3.500,3.500,#2592,2.929,2.929,#2969,2.714,2.714
#1993,3.045,3.045,n/a,n/a,n/a,#1034,3.273,3.273,#2745,2.864,2.864,#2322,3.000,3.000
#1993,3.045,3.045,n/a,n/a,n/a,#2455,2.682,2.682,#1624,3.273,3.273,#1920,3.182,3.182
#1995,3.045,3.045,n/a,n/a,n/a,#2661,2.612,2.612,#2350,3.015,3.015,#1250,3.507,3.507
#1996,3.044,3.044,n/a,n/a,n/a,#2494,2.667,2.667,#3247,2.667,2.667,#762,3.800,3.800
#1996,3.044,3.044,n/a,n/a,n/a,#1738,2.967,2.967,#1823,3.200,3.200,#2399,2.967,2.967
