overall_rank,overall_score,overall_raw_score,game_design_rank,game_design_score,game_design_raw_score,innovation_rank,innovation_score,innovation_raw_score,theme_rank,theme_score,theme_raw_score,fun_rank,fun_score,fun_raw_score,audio_rank,audio_score,audio_raw_score,graphics_rank,graphics_score,graphics_raw_score
#53,3.440,3.440,#80,3.286,3.286,#128,2.929,2.929,#87,3.429,3.429,#45,3.500,3.500,#40,3.571,3.571,#42,3.929,3.929
#54,3.436,3.436,#32,3.727,3.727,#105,3.068,3.068,#262,2.182,2.182,#41,3.545,3.545,#31,3.636,3.636,#4,4.455,4.455
#55,3.433,3.433,#14,4.033,4.033,#7,4.100,4.100,#219,2.600,2.600,#25,3.733,3.733,#106,2.933,2.933,#120,3.200,3.200
#56,3.430,3.430,#37,3.684,3.684,#37,3.579,3.579,#164,2.947,2.947,#49,3.474,3.474,#127,2.737,2.737,#23,4.158,4.158
#57,3.422,3.422,#118,3.059,3.059,#64,3.353,3.353,#80,3.471,3.471,#160,2.765,2.765,#9,4.059,4.059,#53,3.824,3.824
#58,3.417,3.417,#65,3.429,3.429,#50,3.464,3.464,#22,4.000,4.000,#74,3.321,3.321,#95,3.000,3.000,#109,3.286,3.286
#58,3.417,3.417,#62,3.444,3.444,#60,3.389,3.389,#26,3.944,3.944,#78,3.278,3.278,#162,2.444,2.444,#36,4.000,4.000
#60,3.405,3.405,#80,3.286,3.286,#72,3.286,3.286,#46,3.714,3.714,#167,2.714,2.714,#70,3.214,3.214,#19,4.214,4.214
#61,3.399,3.399,#47,3.609,3.609,#122,2.957,2.957,#181,2.870,2.870,#31,3.652,3.652,#75,3.174,3.174,#27,4.130,4.130
#62,3.394,3.394,#42,3.636,3.636,#211,2.364,2.364,#84,3.455,3.455,#27,3.727,3.727,#42,3.545,3.545,#75,3.636,3.636
#63,3.375,3.375,#44,3.625,3.625,#62,3.375,3.375,#58,3.625,3.625,#55,3.438,3.438,#105,2.938,2.938,#113,3.250,3.250
#64,3.340,3.340,#78,3.292,3.292,#148,2.792,2.792,#106,3.333,3.333,#105,3.042,3.042,#16,3.875,3.875,#65,3.708,3.708
#65,3.333,3.333,#36,3.688,3.688,#6,4.125,4.125,#53,3.688,3.688,#55,3.438,3.438,#253,1.563,1.563,#87,3.500,3.500
#65,3.333,3.333,#108,3.125,3.125,#96,3.125,3.125,#12,4.250,4.250,#88,3.188,3.188,#180,2.313,2.313,#36,4.000,4.000
#67,3.333,3.333,#84,3.267,3.267,#77,3.267,3.267,#74,3.533,3.533,#59,3.400,3.400,#56,3.400,3.400,#134,3.133,3.133
#68,3.318,3.318,#61,3.455,3.455,#145,2.818,2.818,#134,3.091,3.091,#80,3.273,3.273,#31,3.636,3.636,#75,3.636,3.636
#69,3.308,3.308,#112,3.100,3.100,#123,2.950,2.950,#28,3.900,3.900,#72,3.350,3.350,#83,3.100,3.100,#93,3.450,3.450
