overall_rank,overall_score,overall_raw_score,game_design_rank,game_design_score,game_design_raw_score,innovation_rank,innovation_score,innovation_raw_score,theme_rank,theme_score,theme_raw_score,fun_rank,fun_score,fun_raw_score,audio_rank,audio_score,audio_raw_score,graphics_rank,graphics_score,graphics_raw_score
#178,2.675,2.889,#134,2.932,3.167,#151,2.777,3.000,#93,3.395,3.667,#121,2.932,3.167,#268,1.389,1.500,#183,2.623,2.833
#180,2.673,2.673,#191,2.593,2.593,#201,2.426,2.426,#225,2.537,2.537,#166,2.722,2.722,#66,3.241,3.241,#197,2.519,2.519
#181,2.653,2.653,#249,2.083,2.083,#144,2.833,2.833,#106,3.333,3.333,#257,2.000,2.000,#155,2.500,2.500,#125,3.167,3.167
#182,2.646,3.500,#230,2.268,3.000,#219,2.268,3.000,#189,2.835,3.750,#198,2.457,3.250,#93,3.024,4.000,#147,3.024,4.000
#183,2.643,2.643,#192,2.571,2.571,#72,3.286,3.286,#153,3.000,3.000,#167,2.714,2.714,#183,2.286,2.286,#255,2.000,2.000
#184,2.633,2.633,#162,2.800,2.800,#216,2.300,2.300,#209,2.700,2.700,#208,2.400,2.400,#191,2.200,2.200,#99,3.400,3.400
#185,2.630,2.630,#181,2.667,2.667,#135,2.889,2.889,#235,2.444,2.444,#174,2.667,2.667,#135,2.667,2.667,#205,2.444,2.444
#186,2.623,2.833,#134,2.932,3.167,#192,2.469,2.667,#136,3.086,3.333,#184,2.623,2.833,#142,2.623,2.833,#253,2.006,2.167
#187,2.619,2.619,#192,2.571,2.571,#178,2.571,2.571,#183,2.857,2.857,#187,2.571,2.571,#150,2.571,2.571,#187,2.571,2.571
#188,2.611,2.611,#203,2.500,2.500,#232,2.167,2.167,#265,2.083,2.083,#174,2.667,2.667,#135,2.667,2.667,#82,3.583,3.583
#189,2.606,2.606,#160,2.818,2.818,#198,2.455,2.455,#234,2.455,2.455,#152,2.818,2.818,#203,2.182,2.182,#157,2.909,2.909
#190,2.571,2.571,#218,2.429,2.429,#238,2.143,2.143,#153,3.000,3.000,#91,3.143,3.143,#183,2.286,2.286,#207,2.429,2.429
#192,2.551,3.375,#211,2.457,3.250,#141,2.835,3.750,#189,2.835,3.750,#178,2.646,3.500,#188,2.268,3.000,#226,2.268,3.000
#192,2.551,3.375,#211,2.457,3.250,#243,2.079,2.750,#189,2.835,3.750,#149,2.835,3.750,#159,2.457,3.250,#177,2.646,3.500
#194,2.546,3.889,#189,2.619,4.000,#202,2.400,3.667,#184,2.837,4.333,#206,2.400,3.667,#165,2.400,3.667,#184,2.619,4.000
#196,2.538,2.538,#168,2.769,2.769,#206,2.385,2.385,#210,2.692,2.692,#210,2.385,2.385,#181,2.308,2.308,#176,2.692,2.692
#197,2.535,3.000,#150,2.874,3.400,#180,2.535,3.000,#226,2.535,3.000,#138,2.874,3.400,#192,2.197,2.600,#234,2.197,2.600
#198,2.526,2.526,#196,2.538,2.538,#175,2.615,2.615,#275,1.923,1.923,#147,2.846,2.846,#87,3.077,3.077,#242,2.154,2.154
#199,2.521,2.521,#171,2.750,2.750,#170,2.625,2.625,#58,3.625,3.625,#161,2.750,2.750,#306,1.000,1.000,#215,2.375,2.375
#200,2.520,2.722,#205,2.469,2.667,#213,2.315,2.500,#136,3.086,3.333,#286,1.543,1.667,#142,2.623,2.833,#138,3.086,3.333
#201,2.520,3.333,#211,2.457,3.250,#219,2.268,3.000,#150,3.024,4.000,#178,2.646,3.500,#113,2.835,3.750,#263,1.890,2.500
#202,2.519,2.519,#164,2.778,2.778,#165,2.667,2.667,#85,3.444,3.444,#174,2.667,2.667,#291,1.222,1.222,#220,2.333,2.333
#203,2.462,2.462,#168,2.769,2.769,#129,2.923,2.923,#109,3.308,3.308,#173,2.692,2.692,#294,1.154,1.154,#262,1.923,1.923
#204,2.458,2.458,#234,2.250,2.250,#137,2.875,2.875,#271,2.000,2.000,#107,3.000,3.000,#95,3.000,3.000,#285,1.625,1.625
#205,2.457,3.250,#211,2.457,3.250,#243,2.079,2.750,#150,3.024,4.000,#225,2.268,3.000,#159,2.457,3.250,#202,2.457,3.250
#206,2.451,2.900,#221,2.366,2.800,#160,2.704,3.200,#240,2.366,2.800,#192,2.535,3.000,#172,2.366,2.800,#217,2.366,2.800
#207,2.444,2.444,#106,3.133,3.133,#257,2.000,2.000,#312,1.467,1.467,#81,3.267,3.267,#214,2.067,2.067,#173,2.733,2.733
#208,2.443,2.639,#205,2.469,2.667,#192,2.469,2.667,#198,2.777,3.000,#121,2.932,3.167,#300,1.080,1.167,#155,2.932,3.167
#209,2.417,2.611,#225,2.315,2.500,#192,2.469,2.667,#165,2.932,3.167,#219,2.315,2.500,#177,2.315,2.500,#240,2.160,2.333
#210,2.400,3.667,#246,2.182,3.333,#174,2.619,4.000,#184,2.837,4.333,#148,2.837,4.333,#222,1.964,3.000,#258,1.964,3.000
#211,2.400,2.400,#227,2.300,2.300,#187,2.500,2.500,#172,2.900,2.900,#242,2.100,2.100,#210,2.100,2.100,#198,2.500,2.500
#212,2.395,2.833,#237,2.197,2.600,#207,2.366,2.800,#204,2.704,3.200,#212,2.366,2.800,#192,2.197,2.600,#191,2.535,3.000
#212,2.395,2.833,#221,2.366,2.800,#180,2.535,3.000,#178,2.874,3.400,#171,2.704,3.200,#272,1.352,1.600,#191,2.535,3.000
#214,2.393,2.393,#203,2.500,2.500,#139,2.857,2.857,#231,2.500,2.500,#156,2.786,2.786,#306,1.000,1.000,#174,2.714,2.714
#215,2.381,2.381,#218,2.429,2.429,#257,2.000,2.000,#65,3.571,3.571,#167,2.714,2.714,#306,1.000,1.000,#187,2.571,2.571
#216,2.369,2.369,#145,2.929,2.929,#187,2.500,2.500,#153,3.000,3.000,#187,2.571,2.571,#303,1.071,1.071,#243,2.143,2.143
#217,2.366,2.800,#221,2.366,2.800,#207,2.366,2.800,#204,2.704,3.200,#212,2.366,2.800,#232,1.859,2.200,#191,2.535,3.000
#219,2.364,3.611,#260,1.964,3.000,#202,2.400,3.667,#184,2.837,4.333,#234,2.182,3.333,#199,2.182,3.333,#184,2.619,4.000
#220,2.351,2.351,#233,2.263,2.263,#177,2.579,2.579,#291,1.737,1.737,#270,1.842,1.842,#149,2.579,2.579,#136,3.105,3.105
#221,2.340,2.528,#186,2.623,2.833,#192,2.469,2.667,#232,2.469,2.667,#237,2.160,2.333,#300,1.080,1.167,#115,3.240,3.500
#222,2.338,2.767,#237,2.197,2.600,#160,2.704,3.200,#204,2.704,3.200,#227,2.197,2.600,#192,2.197,2.600,#248,2.028,2.400
#222,2.338,2.767,#198,2.535,3.000,#254,2.028,2.400,#145,3.043,3.600,#227,2.197,2.600,#192,2.197,2.600,#248,2.028,2.400
#222,2.338,2.767,#198,2.535,3.000,#254,2.028,2.400,#240,2.366,2.800,#212,2.366,2.800,#192,2.197,2.600,#191,2.535,3.000
#225,2.338,2.767,#178,2.704,3.200,#227,2.197,2.600,#204,2.704,3.200,#227,2.197,2.600,#215,2.028,2.400,#234,2.197,2.600
#226,2.310,2.733,#257,2.028,2.400,#227,2.197,2.600,#226,2.535,3.000,#252,2.028,2.400,#152,2.535,3.000,#191,2.535,3.000
#227,2.291,3.500,#246,2.182,3.333,#202,2.400,3.667,#258,2.182,3.333,#234,2.182,3.333,#165,2.400,3.667,#209,2.400,3.667
#228,2.289,2.472,#205,2.469,2.667,#233,2.160,2.333,#244,2.315,2.500,#237,2.160,2.333,#157,2.469,2.667,#240,2.160,2.333
#228,2.289,2.472,#205,2.469,2.667,#233,2.160,2.333,#216,2.623,2.833,#219,2.315,2.500,#268,1.389,1.500,#167,2.777,3.000
#230,2.289,2.472,#225,2.315,2.500,#233,2.160,2.333,#93,3.395,3.667,#237,2.160,2.333,#268,1.389,1.500,#223,2.315,2.500
#231,2.288,2.288,#185,2.636,2.636,#287,1.727,1.727,#224,2.545,2.545,#181,2.636,2.636,#306,1.000,1.000,#124,3.182,3.182
#232,2.282,2.700,#198,2.535,3.000,#254,2.028,2.400,#226,2.535,3.000,#212,2.366,2.800,#172,2.366,2.800,#269,1.859,2.200
#233,2.282,2.700,#198,2.535,3.000,#180,2.535,3.000,#226,2.535,3.000,#227,2.197,2.600,#215,2.028,2.400,#269,1.859,2.200
#234,2.263,2.444,#186,2.623,2.833,#233,2.160,2.333,#216,2.623,2.833,#219,2.315,2.500,#254,1.543,1.667,#223,2.315,2.500
#235,2.254,2.667,#237,2.197,2.600,#300,1.521,1.800,#253,2.197,2.600,#192,2.535,3.000,#215,2.028,2.400,#146,3.043,3.600
#237,2.241,2.241,#181,2.667,2.667,#257,2.000,2.000,#212,2.667,2.667,#217,2.333,2.333,#267,1.444,1.444,#220,2.333,2.333
#238,2.231,2.231,#196,2.538,2.538,#225,2.231,2.231,#170,2.923,2.923,#250,2.077,2.077,#306,1.000,1.000,#186,2.615,2.615
#239,2.226,2.633,#268,1.859,2.200,#180,2.535,3.000,#145,3.043,3.600,#283,1.690,2.000,#172,2.366,2.800,#269,1.859,2.200
#240,2.219,3.389,#246,2.182,3.333,#231,2.182,3.333,#218,2.619,4.000,#234,2.182,3.333,#237,1.746,2.667,#209,2.400,3.667
#241,2.212,2.389,#134,2.932,3.167,#172,2.623,2.833,#136,3.086,3.333,#237,2.160,2.333,#254,1.543,1.667,#321,0.926,1.000
#241,2.212,2.389,#205,2.469,2.667,#213,2.315,2.500,#263,2.160,2.333,#219,2.315,2.500,#320,0.926,1.000,#138,3.086,3.333
#243,2.205,2.917,#250,2.079,2.750,#243,2.079,2.750,#266,2.079,2.750,#244,2.079,2.750,#188,2.268,3.000,#177,2.646,3.500
#244,2.197,2.600,#237,2.197,2.600,#274,1.859,2.200,#253,2.197,2.600,#252,2.028,2.400,#152,2.535,3.000,#217,2.366,2.800
#245,2.197,2.600,#237,2.197,2.600,#227,2.197,2.600,#240,2.366,2.800,#283,1.690,2.000,#192,2.197,2.600,#191,2.535,3.000
#246,2.173,2.875,#250,2.079,2.750,#219,2.268,3.000,#245,2.268,3.000,#244,2.079,2.750,#211,2.079,2.750,#226,2.268,3.000
#246,2.173,2.875,#230,2.268,3.000,#243,2.079,2.750,#189,2.835,3.750,#261,1.890,2.500,#244,1.701,2.250,#226,2.268,3.000
#248,2.142,2.833,#230,2.268,3.000,#243,2.079,2.750,#245,2.268,3.000,#198,2.457,3.250,#313,0.945,1.250,#163,2.835,3.750
#249,2.141,2.533,#268,1.859,2.200,#207,2.366,2.800,#253,2.197,2.600,#252,2.028,2.400,#133,2.704,3.200,#281,1.690,2.000
#250,2.113,2.500,#237,2.197,2.600,#274,1.859,2.200,#313,1.352,1.600,#192,2.535,3.000,#133,2.704,3.200,#248,2.028,2.400
#251,2.109,3.222,#260,1.964,3.000,#262,1.964,3.000,#237,2.400,3.667,#259,1.964,3.000,#199,2.182,3.333,#236,2.182,3.333
#252,2.085,2.467,#237,2.197,2.600,#291,1.690,2.000,#178,2.874,3.400,#252,2.028,2.400,#172,2.366,2.800,#307,1.352,1.600
#253,2.074,2.074,#216,2.444,2.444,#257,2.000,2.000,#252,2.222,2.222,#266,1.889,1.889,#250,1.667,1.667,#233,2.222,2.222
#254,2.071,2.071,#228,2.286,2.286,#238,2.143,2.143,#127,3.143,3.143,#257,2.000,2.000,#252,1.571,1.571,#312,1.286,1.286
#255,2.061,2.061,#274,1.818,1.818,#280,1.818,1.818,#243,2.364,2.364,#243,2.091,2.091,#219,2.000,2.000,#225,2.273,2.273
#256,2.047,2.708,#264,1.890,2.500,#141,2.835,3.750,#189,2.835,3.750,#261,1.890,2.500,#274,1.323,1.750,#296,1.512,2.000
#256,2.047,2.708,#250,2.079,2.750,#243,2.079,2.750,#276,1.890,2.500,#244,2.079,2.750,#225,1.890,2.500,#226,2.268,3.000
#258,2.037,3.111,#260,1.964,3.000,#282,1.746,2.667,#237,2.400,3.667,#259,1.964,3.000,#222,1.964,3.000,#236,2.182,3.333
#259,2.016,2.667,#280,1.701,2.250,#267,1.890,2.500,#189,2.835,3.750,#279,1.701,2.250,#244,1.701,2.250,#226,2.268,3.000
#260,2.016,2.667,#264,1.890,2.500,#243,2.079,2.750,#214,2.646,3.500,#261,1.890,2.500,#225,1.890,2.500,#277,1.701,2.250
#262,1.984,2.625,#250,2.079,2.750,#168,2.646,3.500,#292,1.701,2.250,#244,2.079,2.750,#261,1.512,2.000,#263,1.890,2.500
#263,1.980,2.139,#259,2.006,2.167,#151,2.777,3.000,#298,1.697,1.833,#237,2.160,2.333,#235,1.852,2.000,#306,1.389,1.500
#264,1.972,2.333,#237,2.197,2.600,#274,1.859,2.200,#282,1.859,2.200,#192,2.535,3.000,#272,1.352,1.600,#248,2.028,2.400
#265,1.953,2.583,#280,1.701,2.250,#197,2.457,3.250,#214,2.646,3.500,#244,2.079,2.750,#313,0.945,1.250,#263,1.890,2.500
#265,1.953,2.583,#280,1.701,2.250,#267,1.890,2.500,#245,2.268,3.000,#301,1.323,1.750,#225,1.890,2.500,#177,2.646,3.500
#267,1.928,2.944,#260,1.964,3.000,#282,1.746,2.667,#258,2.182,3.333,#272,1.746,2.667,#222,1.964,3.000,#258,1.964,3.000
#268,1.916,2.267,#268,1.859,2.200,#274,1.859,2.200,#253,2.197,2.600,#291,1.521,1.800,#215,2.028,2.400,#248,2.028,2.400
#269,1.890,2.500,#280,1.701,2.250,#307,1.323,1.750,#276,1.890,2.500,#261,1.890,2.500,#139,2.646,3.500,#263,1.890,2.500
#270,1.890,2.500,#211,2.457,3.250,#243,2.079,2.750,#317,1.134,1.500,#178,2.646,3.500,#261,1.512,2.000,#296,1.512,2.000
#270,1.890,2.500,#264,1.890,2.500,#243,2.079,2.750,#245,2.268,3.000,#225,2.268,3.000,#274,1.323,1.750,#296,1.512,2.000
#272,1.881,1.881,#291,1.571,1.571,#315,1.286,1.286,#300,1.571,1.571,#268,1.857,1.857,#207,2.143,2.143,#162,2.857,2.857
#273,1.859,2.200,#268,1.859,2.200,#274,1.859,2.200,#282,1.859,2.200,#227,2.197,2.600,#232,1.859,2.200,#294,1.521,1.800
#274,1.858,2.458,#250,2.079,2.750,#267,1.890,2.500,#276,1.890,2.500,#261,1.890,2.500,#244,1.701,2.250,#277,1.701,2.250
#275,1.858,2.458,#280,1.701,2.250,#288,1.701,2.250,#233,2.457,3.250,#279,1.701,2.250,#211,2.079,2.750,#296,1.512,2.000
#275,1.858,2.458,#250,2.079,2.750,#219,2.268,3.000,#245,2.268,3.000,#313,1.134,1.500,#274,1.323,1.750,#246,2.079,2.750
#277,1.857,1.857,#279,1.714,1.714,#294,1.571,1.571,#271,2.000,2.000,#277,1.714,1.714,#131,2.714,2.714,#305,1.429,1.429
#278,1.855,2.833,#308,1.309,2.000,#311,1.309,2.000,#184,2.837,4.333,#287,1.528,2.333,#237,1.746,2.667,#209,2.400,3.667
#280,1.827,2.417,#280,1.701,2.250,#267,1.890,2.500,#309,1.512,2.000,#301,1.323,1.750,#188,2.268,3.000,#226,2.268,3.000
#281,1.827,2.417,#280,1.701,2.250,#243,2.079,2.750,#245,2.268,3.000,#294,1.512,2.000,#244,1.701,2.250,#277,1.701,2.250
#281,1.827,2.417,#250,2.079,2.750,#288,1.701,2.250,#292,1.701,2.250,#244,2.079,2.750,#313,0.945,1.250,#202,2.457,3.250
#283,1.818,2.778,#295,1.528,2.333,#262,1.964,3.000,#286,1.746,2.667,#272,1.746,2.667,#165,2.400,3.667,#287,1.528,2.333
#284,1.810,1.810,#291,1.571,1.571,#199,2.429,2.429,#300,1.571,1.571,#299,1.429,1.429,#286,1.286,1.286,#187,2.571,2.571
#285,1.803,2.133,#257,2.028,2.400,#291,1.690,2.000,#204,2.704,3.200,#291,1.521,1.800,#304,1.014,1.200,#269,1.859,2.200
#286,1.782,2.722,#276,1.746,2.667,#311,1.309,2.000,#286,1.746,2.667,#272,1.746,2.667,#199,2.182,3.333,#258,1.964,3.000
#288,1.762,1.762,#291,1.571,1.571,#279,1.857,1.857,#300,1.571,1.571,#277,1.714,1.714,#183,2.286,2.286,#286,1.571,1.571
#290,1.746,2.667,#276,1.746,2.667,#262,1.964,3.000,#303,1.528,2.333,#272,1.746,2.667,#279,1.309,2.000,#236,2.182,3.333
#291,1.732,2.292,#301,1.512,2.000,#219,2.268,3.000,#245,2.268,3.000,#301,1.323,1.750,#225,1.890,2.500,#313,1.134,1.500
#292,1.729,1.729,#267,1.875,1.875,#281,1.750,1.750,#285,1.750,1.750,#211,2.375,2.375,#296,1.125,1.125,#304,1.500,1.500
#293,1.709,2.611,#295,1.528,2.333,#262,1.964,3.000,#303,1.528,2.333,#315,1.091,1.667,#199,2.182,3.333,#258,1.964,3.000
#294,1.701,2.250,#280,1.701,2.250,#288,1.701,2.250,#292,1.701,2.250,#279,1.701,2.250,#261,1.512,2.000,#263,1.890,2.500
#295,1.638,2.167,#301,1.512,2.000,#307,1.323,1.750,#309,1.512,2.000,#294,1.512,2.000,#244,1.701,2.250,#226,2.268,3.000
#295,1.638,2.167,#280,1.701,2.250,#303,1.512,2.000,#266,2.079,2.750,#294,1.512,2.000,#261,1.512,2.000,#296,1.512,2.000
#295,1.638,2.167,#280,1.701,2.250,#267,1.890,2.500,#276,1.890,2.500,#294,1.512,2.000,#274,1.323,1.750,#296,1.512,2.000
#298,1.634,1.933,#268,1.859,2.200,#300,1.521,1.800,#308,1.521,1.800,#227,2.197,2.600,#304,1.014,1.200,#281,1.690,2.000
#299,1.606,2.125,#301,1.512,2.000,#307,1.323,1.750,#292,1.701,2.250,#301,1.323,1.750,#225,1.890,2.500,#263,1.890,2.500
#300,1.600,2.444,#276,1.746,2.667,#295,1.528,2.333,#286,1.746,2.667,#308,1.309,2.000,#256,1.528,2.333,#275,1.746,2.667
#301,1.594,1.722,#294,1.543,1.667,#306,1.389,1.500,#270,2.006,2.167,#269,1.852,2.000,#300,1.080,1.167,#280,1.697,1.833
#302,1.549,1.833,#300,1.521,1.800,#300,1.521,1.800,#282,1.859,2.200,#291,1.521,1.800,#292,1.183,1.400,#281,1.690,2.000
#303,1.528,2.333,#308,1.309,2.000,#262,1.964,3.000,#286,1.746,2.667,#272,1.746,2.667,#297,1.091,1.667,#308,1.309,2.000
#304,1.512,2.000,#306,1.323,1.750,#303,1.512,2.000,#292,1.701,2.250,#279,1.701,2.250,#274,1.323,1.750,#296,1.512,2.000
#305,1.480,1.958,#306,1.323,1.750,#316,1.134,1.500,#276,1.890,2.500,#294,1.512,2.000,#261,1.512,2.000,#296,1.512,2.000
#306,1.455,2.222,#316,1.091,1.667,#295,1.528,2.333,#258,2.182,3.333,#308,1.309,2.000,#256,1.528,2.333,#316,1.091,1.667
#306,1.455,2.222,#295,1.528,2.333,#317,1.091,1.667,#303,1.528,2.333,#308,1.309,2.000,#237,1.746,2.667,#287,1.528,2.333
#308,1.418,2.167,#308,1.309,2.000,#324,0.873,1.333,#274,1.964,3.000,#308,1.309,2.000,#256,1.528,2.333,#287,1.528,2.333
#309,1.382,2.111,#295,1.528,2.333,#311,1.309,2.000,#318,1.091,1.667,#287,1.528,2.333,#256,1.528,2.333,#308,1.309,2.000
#309,1.382,2.111,#308,1.309,2.000,#282,1.746,2.667,#303,1.528,2.333,#315,1.091,1.667,#297,1.091,1.667,#287,1.528,2.333
#311,1.354,1.792,#321,0.945,1.250,#243,2.079,2.750,#266,2.079,2.750,#301,1.323,1.750,#313,0.945,1.250,#325,0.756,1.000
#312,1.346,2.056,#308,1.309,2.000,#295,1.528,2.333,#286,1.746,2.667,#315,1.091,1.667,#321,0.873,1.333,#287,1.528,2.333
#315,1.323,1.750,#301,1.512,2.000,#303,1.512,2.000,#309,1.512,2.000,#301,1.323,1.750,#313,0.945,1.250,#313,1.134,1.500
#316,1.309,2.000,#316,1.091,1.667,#282,1.746,2.667,#315,1.309,2.000,#315,1.091,1.667,#279,1.309,2.000,#308,1.309,2.000
#316,1.309,2.000,#308,1.309,2.000,#311,1.309,2.000,#318,1.091,1.667,#308,1.309,2.000,#279,1.309,2.000,#287,1.528,2.333
#318,1.237,1.889,#316,1.091,1.667,#295,1.528,2.333,#318,1.091,1.667,#315,1.091,1.667,#279,1.309,2.000,#308,1.309,2.000
#319,1.164,1.778,#316,1.091,1.667,#317,1.091,1.667,#315,1.309,2.000,#323,0.873,1.333,#256,1.528,2.333,#316,1.091,1.667
#320,1.134,1.500,#315,1.134,1.500,#321,0.945,1.250,#314,1.323,1.750,#313,1.134,1.500,#295,1.134,1.500,#313,1.134,1.500
#321,1.091,1.667,#308,1.309,2.000,#317,1.091,1.667,#326,0.655,1.000,#287,1.528,2.333,#321,0.873,1.333,#316,1.091,1.667
#322,0.945,1.250,#321,0.945,1.250,#321,0.945,1.250,#321,0.945,1.250,#321,0.945,1.250,#313,0.945,1.250,#320,0.945,1.250
#323,0.913,1.208,#321,0.945,1.250,#321,0.945,1.250,#321,0.945,1.250,#321,0.945,1.250,#313,0.945,1.250,#325,0.756,1.000
#324,0.873,1.333,#324,0.873,1.333,#324,0.873,1.333,#323,0.873,1.333,#323,0.873,1.333,#321,0.873,1.333,#322,0.873,1.333
#324,0.873,1.333,#324,0.873,1.333,#324,0.873,1.333,#323,0.873,1.333,#323,0.873,1.333,#321,0.873,1.333,#322,0.873,1.333
#324,0.873,1.333,#324,0.873,1.333,#317,1.091,1.667,#323,0.873,1.333,#326,0.655,1.000,#321,0.873,1.333,#322,0.873,1.333
#327,0.655,1.000,#327,0.655,1.000,#327,0.655,1.000,#326,0.655,1.000,#326,0.655,1.000,#327,0.655,1.000,#327,0.655,1.000
#327,0.655,1.000,#327,0.655,1.000,#327,0.655,1.000,#326,0.655,1.000,#326,0.655,1.000,#327,0.655,1.000,#327,0.655,1.000
#329,0.535,1.000,#329,0.535,1.000,#329,0.535,1.000,#329,0.535,1.000,#329,0.535,1.000,#329,0.535,1.000,#329,0.535,1.000
#330,0.378,1.000,#330,0.378,1.000,#330,0.378,1.000,#330,0.378,1.000,#330,0.378,1.000,#330,0.378,1.000,#330,0.378,1.000
