wowie_rank,wowie_score,wowie_raw_score,topic_rank,topic_score,topic_raw_score,fun_rank,fun_score,fun_raw_score,simplicity_rank,simplicity_score,simplicity_raw_score,sound_rank,sound_score,sound_raw_score,visuals_rank,visuals_score,visuals_raw_score,creativity_rank,creativity_score,creativity_raw_score
#177,3.512,3.512,#128,3.854,3.854,#269,3.390,3.390,#659,3.000,3.000,#142,3.537,3.537,#347,3.341,3.341,#86,3.951,3.951
#178,3.500,3.500,#70,4.000,4.000,#70,3.900,3.900,#62,4.200,4.200,#232,3.300,3.300,#238,3.600,3.600,#148,3.800,3.800
#178,3.500,3.500,#269,3.500,3.500,#90,3.818,3.818,#38,4.273,4.273,#125,3.591,3.591,#405,3.182,3.182,#57,4.045,4.045
#178,3.500,3.500,#303,3.417,3.417,#59,3.917,3.917,#419,3.500,3.500,#181,3.417,3.417,#348,3.333,3.333,#198,3.667,3.667
#178,3.500,3.500,#440,3.100,3.100,#261,3.400,3.400,#473,3.400,3.400,#192,3.400,3.400,#320,3.400,3.400,#15,4.300,4.300
#178,3.500,3.500,#249,3.583,3.583,#107,3.750,3.750,#110,4.083,4.083,#261,3.250,3.250,#473,3.000,3.000,#378,3.250,3.250
#178,3.500,3.500,#122,3.864,3.864,#275,3.364,3.364,#52,4.227,4.227,#186,3.409,3.409,#145,3.864,3.864,#119,3.864,3.864
#178,3.500,3.500,#96,3.929,3.929,#152,3.643,3.643,#146,4.000,4.000,#148,3.500,3.500,#93,4.000,4.000,#260,3.500,3.500
#178,3.500,3.500,#404,3.167,3.167,#121,3.722,3.722,#315,3.722,3.722,#278,3.222,3.222,#213,3.667,3.667,#68,4.000,4.000
#186,3.481,3.481,#260,3.556,3.556,#402,3.111,3.111,#534,3.296,3.296,#219,3.333,3.333,#258,3.556,3.556,#181,3.704,3.704
#187,3.480,3.480,#216,3.640,3.640,#220,3.480,3.480,#347,3.680,3.680,#135,3.560,3.560,#333,3.360,3.360,#94,3.920,3.920
#188,3.479,3.667,#161,3.795,4.000,#167,3.584,3.778,#269,3.795,4.000,#415,2.951,3.111,#328,3.373,3.556,#191,3.689,3.889
#189,3.472,3.472,#191,3.694,3.694,#156,3.639,3.639,#717,2.889,2.889,#793,1.806,1.806,#136,3.889,3.889,#54,4.056,4.056
#190,3.467,3.467,#308,3.400,3.400,#231,3.467,3.467,#264,3.800,3.800,#517,2.733,2.733,#394,3.200,3.200,#172,3.733,3.733
#190,3.467,3.467,#456,3.067,3.067,#95,3.800,3.800,#146,4.000,4.000,#481,2.800,2.800,#348,3.333,3.333,#37,4.133,4.133
#190,3.467,3.467,#31,4.200,4.200,#55,3.933,3.933,#13,4.400,4.400,#381,3.000,3.000,#675,2.467,2.467,#308,3.400,3.400
#190,3.467,3.467,#157,3.800,3.800,#323,3.267,3.267,#146,4.000,4.000,#99,3.667,3.667,#143,3.867,3.867,#118,3.867,3.867
#194,3.455,3.455,#218,3.636,3.636,#35,4.000,4.000,#4,4.545,4.545,#201,3.364,3.364,#261,3.545,3.545,#544,2.909,2.909
#194,3.455,3.455,#295,3.455,3.455,#191,3.545,3.545,#492,3.364,3.364,#551,2.636,2.636,#261,3.545,3.545,#289,3.455,3.455
#194,3.455,3.455,#39,4.136,4.136,#140,3.682,3.682,#88,4.136,4.136,#519,2.727,2.727,#446,3.091,3.091,#25,4.227,4.227
#197,3.448,3.448,#9,4.345,4.345,#80,3.862,3.862,#61,4.207,4.207,#501,2.759,2.759,#563,2.793,2.793,#360,3.276,3.276
#197,3.448,3.448,#95,3.931,3.931,#188,3.552,3.552,#359,3.655,3.655,#284,3.207,3.207,#346,3.345,3.345,#21,4.241,4.241
#199,3.447,3.447,#200,3.684,3.684,#226,3.474,3.474,#80,4.158,4.158,#172,3.447,3.447,#384,3.237,3.237,#479,3.026,3.026
#200,3.438,3.438,#357,3.281,3.281,#328,3.250,3.250,#594,3.156,3.156,#190,3.406,3.406,#268,3.531,3.531,#115,3.875,3.875
#200,3.438,3.438,#342,3.313,3.313,#345,3.219,3.219,#125,4.063,4.063,#66,3.781,3.781,#91,4.031,4.031,#194,3.688,3.688
#202,3.435,3.435,#329,3.348,3.348,#225,3.478,3.478,#414,3.522,3.522,#260,3.261,3.261,#108,3.957,3.957,#257,3.522,3.522
#203,3.433,3.433,#535,2.867,2.867,#287,3.333,3.333,#419,3.500,3.500,#80,3.733,3.733,#166,3.800,3.800,#133,3.833,3.833
#204,3.419,3.419,#424,3.129,3.129,#33,4.032,4.032,#363,3.645,3.645,#158,3.484,3.484,#428,3.129,3.129,#89,3.935,3.935
#205,3.412,3.412,#551,2.824,2.824,#228,3.471,3.471,#188,3.941,3.941,#273,3.235,3.235,#112,3.941,3.941,#628,2.706,2.706
#206,3.409,3.409,#137,3.835,3.835,#381,3.157,3.157,#577,3.200,3.200,#117,3.617,3.617,#175,3.765,3.765,#108,3.887,3.887
#207,3.407,3.407,#129,3.852,3.852,#143,3.667,3.667,#197,3.926,3.926,#160,3.481,3.481,#318,3.407,3.407,#560,2.889,2.889
#207,3.407,3.407,#138,3.833,3.833,#428,3.037,3.037,#417,3.519,3.519,#37,3.926,3.926,#4,4.704,4.704,#464,3.074,3.074
#209,3.405,3.405,#240,3.595,3.595,#348,3.214,3.214,#459,3.452,3.452,#281,3.214,3.214,#109,3.952,3.952,#156,3.786,3.786
#210,3.400,3.400,#61,4.067,4.067,#261,3.400,3.400,#192,3.933,3.933,#357,3.067,3.067,#530,2.867,2.867,#430,3.133,3.133
#210,3.400,3.400,#264,3.533,3.533,#231,3.467,3.467,#146,4.000,4.000,#256,3.267,3.267,#473,3.000,3.000,#68,4.000,4.000
#210,3.400,3.400,#105,3.900,3.900,#208,3.500,3.500,#146,4.000,4.000,#232,3.300,3.300,#196,3.700,3.700,#354,3.300,3.300
#210,3.400,3.400,#627,2.629,2.629,#193,3.543,3.543,#682,2.971,2.971,#449,2.886,2.886,#647,2.571,2.571,#35,4.171,4.171
#210,3.400,3.400,#340,3.320,3.320,#276,3.360,3.360,#592,3.160,3.160,#323,3.120,3.120,#467,3.040,3.040,#227,3.600,3.600
#215,3.389,3.389,#233,3.611,3.611,#160,3.611,3.611,#279,3.778,3.778,#369,3.056,3.056,#473,3.000,3.000,#106,3.889,3.889
#216,3.387,3.387,#155,3.806,3.806,#219,3.484,3.484,#284,3.774,3.774,#381,3.000,3.000,#251,3.581,3.581,#400,3.226,3.226
#217,3.386,3.386,#532,2.871,2.871,#298,3.300,3.300,#539,3.286,3.286,#177,3.429,3.429,#66,4.129,4.129,#197,3.671,3.671
#218,3.385,3.385,#70,4.000,4.000,#270,3.385,3.385,#286,3.769,3.769,#197,3.385,3.385,#172,3.769,3.769,#462,3.077,3.077
#219,3.379,3.379,#70,4.000,4.000,#204,3.517,3.517,#146,4.000,4.000,#423,2.931,2.931,#288,3.483,3.483,#429,3.138,3.138
#220,3.378,3.378,#147,3.822,3.822,#114,3.733,3.733,#81,4.156,4.156,#263,3.244,3.244,#284,3.489,3.489,#402,3.222,3.222
#221,3.375,3.375,#697,2.396,2.396,#305,3.292,3.292,#202,3.917,3.917,#831,1.604,1.604,#34,4.396,4.396,#167,3.750,3.750
#222,3.373,3.556,#48,4.111,4.333,#319,3.268,3.444,#214,3.900,4.111,#965,1.054,1.111,#328,3.373,3.556,#191,3.689,3.889
#222,3.373,3.556,#408,3.162,3.333,#221,3.479,3.667,#484,3.373,3.556,#253,3.268,3.444,#130,3.900,4.111,#237,3.584,3.778
#224,3.370,3.370,#305,3.407,3.407,#387,3.148,3.148,#517,3.333,3.333,#238,3.296,3.296,#243,3.593,3.593,#268,3.481,3.481
#224,3.370,3.370,#168,3.778,3.778,#83,3.852,3.852,#146,4.000,4.000,#413,2.963,2.963,#231,3.630,3.630,#357,3.296,3.296
#226,3.362,3.362,#69,4.014,4.014,#196,3.536,3.536,#381,3.594,3.594,#522,2.725,2.725,#491,2.986,2.986,#93,3.928,3.928
#227,3.360,3.360,#428,3.120,3.120,#142,3.680,3.680,#461,3.440,3.440,#349,3.080,3.080,#394,3.200,3.200,#132,3.840,3.840
#228,3.359,3.359,#118,3.872,3.872,#218,3.487,3.487,#219,3.897,3.897,#176,3.436,3.436,#213,3.667,3.667,#558,2.897,2.897
#229,3.357,3.357,#455,3.071,3.071,#177,3.571,3.571,#34,4.286,4.286,#148,3.500,3.500,#272,3.500,3.500,#213,3.643,3.643
#230,3.357,4.333,#232,3.615,4.667,#110,3.744,4.833,#371,3.615,4.667,#208,3.357,4.333,#334,3.357,4.333,#169,3.744,4.833
#231,3.354,3.750,#193,3.690,4.125,#280,3.354,3.750,#259,3.801,4.250,#89,3.690,4.125,#202,3.690,4.125,#547,2.907,3.250
#231,3.354,3.750,#252,3.578,4.000,#433,3.019,3.375,#335,3.690,4.125,#437,2.907,3.250,#420,3.130,3.500,#98,3.913,4.375
#233,3.353,3.353,#146,3.824,3.824,#302,3.294,3.294,#288,3.765,3.765,#184,3.412,3.412,#139,3.882,3.882,#110,3.882,3.882
#233,3.353,3.353,#298,3.451,3.451,#228,3.471,3.471,#233,3.863,3.863,#870,1.451,1.451,#122,3.922,3.922,#362,3.275,3.275
#235,3.347,4.000,#144,3.825,4.571,#234,3.466,4.143,#326,3.705,4.429,#505,2.749,3.286,#386,3.227,3.857,#280,3.466,4.143
#235,3.347,4.000,#243,3.586,4.286,#126,3.705,4.429,#672,2.988,3.571,#331,3.108,3.714,#665,2.510,3.000,#235,3.586,4.286
#237,3.344,3.344,#152,3.813,3.813,#382,3.156,3.156,#291,3.750,3.750,#199,3.375,3.375,#170,3.781,3.781,#488,3.000,3.000
#237,3.344,3.344,#70,4.000,4.000,#247,3.438,3.438,#341,3.688,3.688,#113,3.625,3.625,#224,3.656,3.656,#317,3.375,3.375
#239,3.333,3.333,#576,2.750,2.750,#107,3.750,3.750,#44,4.250,4.250,#77,3.750,3.750,#213,3.667,3.667,#458,3.083,3.083
#239,3.333,3.333,#55,4.095,4.095,#177,3.571,3.571,#104,4.095,4.095,#341,3.095,3.095,#403,3.190,3.190,#270,3.476,3.476
#239,3.333,3.333,#199,3.688,3.688,#183,3.563,3.563,#146,4.000,4.000,#139,3.542,3.542,#227,3.646,3.646,#412,3.188,3.188
#239,3.333,3.333,#292,3.458,3.458,#328,3.250,3.250,#291,3.750,3.750,#381,3.000,3.000,#348,3.333,3.333,#404,3.208,3.208
#239,3.333,3.333,#332,3.333,3.333,#177,3.571,3.571,#34,4.286,4.286,#219,3.333,3.333,#189,3.714,3.714,#241,3.571,3.571
#239,3.333,3.333,#157,3.800,3.800,#143,3.667,3.667,#146,4.000,4.000,#548,2.667,2.667,#394,3.200,3.200,#198,3.667,3.667
#239,3.333,3.333,#481,3.000,3.000,#170,3.583,3.583,#78,4.167,4.167,#470,2.833,2.833,#272,3.500,3.500,#458,3.083,3.083
#239,3.333,3.333,#404,3.167,3.167,#208,3.500,3.500,#704,2.917,2.917,#99,3.667,3.667,#348,3.333,3.333,#198,3.667,3.667
#247,3.326,3.326,#125,3.859,3.859,#296,3.304,3.304,#600,3.141,3.141,#474,2.826,2.826,#301,3.446,3.446,#249,3.543,3.543
#248,3.320,3.320,#393,3.200,3.200,#334,3.240,3.240,#290,3.760,3.760,#270,3.240,3.240,#508,2.920,2.920,#148,3.800,3.800
#249,3.316,3.316,#121,3.868,3.868,#268,3.395,3.395,#115,4.079,4.079,#172,3.447,3.447,#364,3.289,3.289,#219,3.632,3.632
#250,3.313,3.313,#481,3.000,3.000,#183,3.563,3.563,#462,3.438,3.438,#290,3.188,3.188,#557,2.813,2.813,#260,3.500,3.500
#251,3.308,3.308,#314,3.385,3.385,#339,3.231,3.231,#406,3.538,3.538,#118,3.615,3.615,#265,3.538,3.538,#162,3.769,3.769
#252,3.300,3.300,#1,4.800,4.800,#437,3.000,3.000,#146,4.000,4.000,#122,3.600,3.600,#133,3.900,3.900,#594,2.800,2.800
#252,3.300,3.300,#51,4.100,4.100,#261,3.400,3.400,#528,3.300,3.300,#633,2.400,2.400,#521,2.900,2.900,#182,3.700,3.700
#252,3.300,3.300,#105,3.900,3.900,#261,3.400,3.400,#100,4.100,4.100,#633,2.400,2.400,#473,3.000,3.000,#148,3.800,3.800
#255,3.297,3.297,#481,3.000,3.000,#252,3.432,3.432,#348,3.676,3.676,#43,3.892,3.892,#212,3.676,3.676,#160,3.784,3.784
#256,3.294,3.294,#429,3.118,3.118,#199,3.529,3.529,#146,4.000,4.000,#381,3.000,3.000,#528,2.882,2.882,#562,2.882,2.882
#258,3.273,3.273,#218,3.636,3.636,#90,3.818,3.818,#366,3.636,3.636,#292,3.182,3.182,#371,3.273,3.273,#215,3.636,3.636
#258,3.273,3.273,#149,3.818,3.818,#191,3.545,3.545,#69,4.182,4.182,#54,3.818,3.818,#371,3.273,3.273,#101,3.909,3.909
#260,3.270,3.270,#359,3.270,3.270,#260,3.405,3.405,#256,3.811,3.811,#376,3.027,3.027,#469,3.027,3.027,#267,3.486,3.486
#261,3.268,3.444,#277,3.479,3.667,#319,3.268,3.444,#141,4.006,4.222,#766,1.897,2.000,#693,2.424,2.556,#470,3.057,3.222
#261,3.268,3.444,#197,3.689,3.889,#272,3.373,3.556,#141,4.006,4.222,#365,3.057,3.222,#409,3.162,3.333,#318,3.373,3.556
#263,3.267,3.267,#559,2.800,2.800,#95,3.800,3.800,#40,4.267,4.267,#143,3.533,3.533,#183,3.733,3.733,#227,3.600,3.600
#265,3.263,3.263,#623,2.632,2.632,#226,3.474,3.474,#60,4.211,4.211,#94,3.684,3.684,#93,4.000,4.000,#371,3.263,3.263
#266,3.261,3.261,#166,3.783,3.783,#347,3.217,3.217,#398,3.565,3.565,#280,3.217,3.217,#342,3.348,3.348,#247,3.565,3.565
#267,3.250,3.250,#425,3.125,3.125,#368,3.167,3.167,#202,3.917,3.917,#127,3.583,3.583,#248,3.583,3.583,#287,3.458,3.458
#267,3.250,3.250,#308,3.400,3.400,#328,3.250,3.250,#131,4.050,4.050,#531,2.700,2.700,#166,3.800,3.800,#308,3.400,3.400
#267,3.250,3.250,#662,2.500,2.500,#410,3.100,3.100,#473,3.400,3.400,#590,2.550,2.550,#378,3.250,3.250,#42,4.100,4.100
#267,3.250,3.250,#99,3.917,3.917,#368,3.167,3.167,#202,3.917,3.917,#833,1.583,1.583,#78,4.083,4.083,#378,3.250,3.250
#267,3.250,3.250,#706,2.375,2.375,#345,3.219,3.219,#419,3.500,3.500,#145,3.531,3.531,#302,3.438,3.438,#175,3.719,3.719
#267,3.250,3.250,#313,3.393,3.393,#469,2.964,2.964,#525,3.321,3.321,#203,3.357,3.357,#83,4.071,4.071,#141,3.821,3.821
#273,3.246,3.246,#439,3.101,3.101,#426,3.043,3.043,#610,3.130,3.130,#155,3.493,3.493,#116,3.928,3.928,#117,3.870,3.870
#274,3.242,3.242,#254,3.576,3.576,#363,3.182,3.182,#583,3.182,3.182,#170,3.455,3.455,#495,2.970,2.970,#62,4.030,4.030
#275,3.242,3.625,#563,2.795,3.125,#660,2.460,2.750,#795,2.683,3.000,#485,2.795,3.125,#515,2.907,3.250,#481,3.019,3.375
#275,3.242,3.625,#323,3.354,3.750,#393,3.130,3.500,#814,2.571,2.875,#167,3.466,3.875,#202,3.690,4.125,#147,3.801,4.250
#275,3.242,3.625,#366,3.242,3.625,#582,2.683,3.000,#259,3.801,4.250,#316,3.130,3.500,#126,3.913,4.375,#547,2.907,3.250
#275,3.242,3.625,#751,2.236,2.500,#134,3.690,4.125,#85,4.137,4.625,#378,3.019,3.375,#558,2.795,3.125,#281,3.466,3.875
#279,3.241,3.241,#174,3.759,3.759,#507,2.862,2.862,#418,3.517,3.517,#523,2.724,2.724,#418,3.138,3.138,#389,3.241,3.241
#280,3.239,3.239,#258,3.565,3.565,#250,3.435,3.435,#402,3.543,3.543,#330,3.109,3.109,#657,2.543,2.543,#336,3.348,3.348
#281,3.238,3.238,#126,3.857,3.857,#335,3.238,3.238,#517,3.333,3.333,#242,3.286,3.286,#146,3.857,3.857,#316,3.381,3.381
#282,3.235,3.235,#551,2.824,2.824,#282,3.353,3.353,#440,3.471,3.471,#325,3.118,3.118,#316,3.412,3.412,#177,3.706,3.706
#282,3.235,3.235,#731,2.279,2.279,#592,2.647,2.647,#395,3.574,3.574,#47,3.853,3.853,#9,4.603,4.603,#474,3.044,3.044
#284,3.231,3.231,#132,3.846,3.846,#158,3.615,3.615,#29,4.308,4.308,#305,3.154,3.154,#172,3.769,3.769,#488,3.000,3.000
#284,3.231,3.231,#192,3.692,3.692,#239,3.462,3.462,#146,4.000,4.000,#230,3.308,3.308,#535,2.846,2.846,#424,3.154,3.154
#284,3.231,3.231,#230,3.615,3.615,#208,3.500,3.500,#406,3.538,3.538,#350,3.077,3.077,#345,3.346,3.346,#366,3.269,3.269
#284,3.231,3.231,#171,3.769,3.769,#270,3.385,3.385,#452,3.462,3.462,#426,2.923,2.923,#453,3.077,3.077,#284,3.462,3.462
#284,3.231,3.231,#662,2.500,2.500,#117,3.731,3.731,#543,3.269,3.269,#215,3.346,3.346,#151,3.846,3.846,#350,3.308,3.308
#289,3.227,3.227,#218,3.636,3.636,#341,3.227,3.227,#705,2.909,2.909,#495,2.773,2.773,#446,3.091,3.091,#68,4.000,4.000
#290,3.227,3.857,#579,2.749,3.286,#342,3.227,3.857,#621,3.108,3.714,#635,2.390,2.857,#570,2.749,3.286,#565,2.869,3.429
#291,3.225,3.225,#612,2.652,2.652,#176,3.573,3.573,#368,3.618,3.618,#104,3.652,3.652,#363,3.292,3.292,#342,3.337,3.337
#293,3.214,3.214,#301,3.429,3.429,#429,3.036,3.036,#376,3.607,3.607,#227,3.321,3.321,#236,3.607,3.607,#176,3.714,3.714
#293,3.214,3.214,#269,3.500,3.500,#306,3.286,3.286,#273,3.786,3.786,#308,3.143,3.143,#365,3.286,3.286,#488,3.000,3.000
#293,3.214,3.214,#413,3.143,3.143,#306,3.286,3.286,#722,2.857,2.857,#77,3.750,3.750,#93,4.000,4.000,#195,3.679,3.679
#296,3.213,3.213,#402,3.170,3.170,#157,3.617,3.617,#287,3.766,3.766,#198,3.383,3.383,#310,3.426,3.426,#165,3.766,3.766
#297,3.211,3.211,#70,4.000,4.000,#498,2.895,2.895,#129,4.053,4.053,#283,3.211,3.211,#412,3.158,3.158,#298,3.421,3.421
#298,3.208,3.208,#152,3.813,3.813,#290,3.313,3.313,#308,3.729,3.729,#496,2.771,2.771,#326,3.375,3.375,#221,3.625,3.625
#298,3.208,3.208,#267,3.521,3.521,#432,3.021,3.021,#483,3.375,3.375,#751,1.979,1.979,#115,3.938,3.938,#212,3.646,3.646
#300,3.204,3.204,#136,3.839,3.839,#400,3.118,3.118,#586,3.172,3.172,#334,3.108,3.108,#402,3.194,3.194,#142,3.817,3.817
#301,3.204,3.204,#400,3.184,3.184,#344,3.223,3.223,#283,3.777,3.777,#450,2.883,2.883,#199,3.699,3.699,#335,3.350,3.350
#302,3.200,3.200,#393,3.200,3.200,#529,2.800,2.800,#659,3.000,3.000,#311,3.133,3.133,#293,3.467,3.467,#277,3.467,3.467
#302,3.200,3.200,#105,3.900,3.900,#437,3.000,3.000,#714,2.900,2.900,#285,3.200,3.200,#394,3.200,3.200,#354,3.300,3.300
#302,3.200,3.200,#235,3.600,3.600,#197,3.533,3.533,#349,3.667,3.667,#311,3.133,3.133,#582,2.733,2.733,#430,3.133,3.133
#302,3.200,3.200,#393,3.200,3.200,#208,3.500,3.500,#100,4.100,4.100,#232,3.300,3.300,#439,3.100,3.100,#449,3.100,3.100
#302,3.200,3.200,#202,3.680,3.680,#313,3.280,3.280,#136,4.040,4.040,#524,2.720,2.720,#368,3.280,3.280,#488,3.000,3.000
#302,3.200,3.200,#440,3.100,3.100,#261,3.400,3.400,#264,3.800,3.800,#285,3.200,3.200,#272,3.500,3.500,#227,3.600,3.600
#308,3.190,3.190,#590,2.714,2.714,#472,2.952,2.952,#596,3.143,3.143,#14,4.143,4.143,#75,4.095,4.095,#270,3.476,3.476
#309,3.189,3.189,#135,3.844,3.844,#259,3.411,3.411,#127,4.056,4.056,#526,2.711,2.711,#473,3.000,3.000,#556,2.900,2.900
#310,3.188,3.188,#342,3.313,3.313,#500,2.875,2.875,#341,3.688,3.688,#4,4.250,4.250,#7,4.625,4.625,#143,3.813,3.813
#311,3.179,3.179,#87,3.974,3.974,#291,3.308,3.308,#12,4.410,4.410,#641,2.385,2.385,#697,2.410,2.410,#350,3.308,3.308
#312,3.176,3.176,#326,3.353,3.353,#437,3.000,3.000,#612,3.118,3.118,#779,1.882,1.882,#459,3.059,3.059,#166,3.765,3.765
#312,3.176,3.176,#210,3.647,3.647,#336,3.235,3.235,#412,3.529,3.529,#419,2.941,2.941,#292,3.471,3.471,#274,3.471,3.471
#312,3.176,3.176,#481,3.000,3.000,#302,3.294,3.294,#325,3.706,3.706,#381,3.000,3.000,#194,3.706,3.706,#628,2.706,2.706
#312,3.176,3.176,#326,3.353,3.353,#420,3.059,3.059,#558,3.235,3.235,#381,3.000,3.000,#226,3.647,3.647,#307,3.412,3.412
#312,3.176,3.176,#551,2.824,2.824,#199,3.529,3.529,#535,3.294,3.294,#325,3.118,3.118,#159,3.824,3.824,#274,3.471,3.471
#312,3.176,3.176,#575,2.765,2.765,#165,3.588,3.588,#659,3.000,3.000,#364,3.059,3.059,#430,3.118,3.118,#110,3.882,3.882
#318,3.172,3.172,#392,3.207,3.207,#314,3.276,3.276,#434,3.483,3.483,#159,3.483,3.483,#270,3.517,3.517,#478,3.034,3.034
#318,3.172,3.172,#513,2.966,2.966,#356,3.207,3.207,#359,3.655,3.655,#218,3.345,3.345,#134,3.897,3.897,#519,2.966,2.966
#320,3.167,3.167,#58,4.083,4.083,#486,2.917,2.917,#419,3.500,3.500,#430,2.917,2.917,#272,3.500,3.500,#417,3.167,3.167
#320,3.167,3.167,#716,2.333,2.333,#516,2.833,2.833,#202,3.917,3.917,#181,3.417,3.417,#213,3.667,3.667,#300,3.417,3.417
#320,3.167,3.167,#332,3.333,3.333,#368,3.167,3.167,#419,3.500,3.500,#448,2.889,2.889,#369,3.278,3.278,#359,3.278,3.278
#320,3.167,3.167,#362,3.250,3.250,#258,3.417,3.417,#349,3.667,3.667,#28,4.000,4.000,#213,3.667,3.667,#458,3.083,3.083
#324,3.162,3.333,#48,4.111,4.333,#167,3.584,3.778,#141,4.006,4.222,#253,3.268,3.444,#577,2.741,2.889,#613,2.741,2.889
#324,3.162,3.333,#537,2.846,3.000,#421,3.057,3.222,#437,3.479,3.667,#365,3.057,3.222,#246,3.584,3.778,#522,2.951,3.111
#324,3.162,3.333,#277,3.479,3.667,#375,3.162,3.333,#437,3.479,3.667,#415,2.951,3.111,#461,3.057,3.222,#152,3.795,4.000
#327,3.160,3.160,#207,3.660,3.660,#246,3.440,3.440,#217,3.900,3.900,#807,1.720,1.720,#252,3.580,3.580,#327,3.360,3.360
#328,3.154,3.154,#132,3.846,3.846,#291,3.308,3.308,#452,3.462,3.462,#275,3.231,3.231,#473,3.000,3.000,#127,3.846,3.846
#328,3.154,3.154,#230,3.615,3.615,#291,3.308,3.308,#50,4.231,4.231,#230,3.308,3.308,#413,3.154,3.154,#462,3.077,3.077
#328,3.154,3.154,#629,2.615,2.615,#437,3.000,3.000,#659,3.000,3.000,#118,3.615,3.615,#172,3.769,3.769,#284,3.462,3.462
#331,3.150,3.150,#346,3.300,3.300,#298,3.300,3.300,#291,3.750,3.750,#441,2.900,2.900,#300,3.450,3.450,#472,3.050,3.050
#332,3.143,3.143,#255,3.571,3.571,#348,3.214,3.214,#364,3.643,3.643,#424,2.929,2.929,#473,3.000,3.000,#488,3.000,3.000
#332,3.143,3.143,#614,2.643,2.643,#542,2.786,2.786,#396,3.571,3.571,#491,2.786,2.786,#506,2.929,2.929,#241,3.571,3.571
#332,3.143,3.143,#165,3.786,3.786,#253,3.429,3.429,#222,3.893,3.893,#872,1.429,1.429,#455,3.071,3.071,#328,3.357,3.357
#335,3.130,3.500,#193,3.690,4.125,#174,3.578,4.000,#85,4.137,4.625,#577,2.571,2.875,#782,2.124,2.375,#65,4.025,4.500
#335,3.130,3.500,#563,2.795,3.125,#433,3.019,3.375,#874,2.348,2.625,#264,3.242,3.625,#470,3.019,3.375,#240,3.578,4.000
#335,3.130,3.500,#525,2.907,3.250,#492,2.907,3.250,#602,3.130,3.500,#130,3.578,4.000,#165,3.801,4.250,#434,3.130,3.500
#335,3.130,3.500,#366,3.242,3.625,#393,3.130,3.500,#259,3.801,4.250,#316,3.130,3.500,#638,2.571,2.875,#547,2.907,3.250
#335,3.130,3.500,#289,3.466,3.875,#492,2.907,3.250,#760,2.795,3.125,#210,3.354,3.750,#202,3.690,4.125,#481,3.019,3.375
#335,3.130,3.500,#563,2.795,3.125,#236,3.466,3.875,#651,3.019,3.375,#540,2.683,3.000,#638,2.571,2.875,#281,3.466,3.875
#341,3.125,3.125,#148,3.819,3.819,#241,3.458,3.458,#120,4.069,4.069,#328,3.111,3.111,#375,3.264,3.264,#677,2.569,2.569
#341,3.125,3.125,#306,3.406,3.406,#230,3.469,3.469,#68,4.188,4.188,#361,3.063,3.063,#520,2.906,2.906,#293,3.438,3.438
#341,3.125,3.125,#668,2.469,2.469,#312,3.281,3.281,#582,3.188,3.188,#244,3.281,3.281,#242,3.594,3.594,#339,3.344,3.344
#341,3.125,3.125,#519,2.938,2.938,#437,3.000,3.000,#253,3.813,3.813,#175,3.438,3.438,#205,3.688,3.688,#593,2.813,2.813
#341,3.125,3.125,#556,2.813,2.813,#549,2.750,2.750,#659,3.000,3.000,#290,3.188,3.188,#205,3.688,3.688,#607,2.750,2.750
#346,3.121,3.121,#771,2.182,2.182,#315,3.273,3.273,#59,4.212,4.212,#195,3.394,3.394,#114,3.939,3.939,#712,2.485,2.485
#347,3.118,3.118,#613,2.647,2.647,#199,3.529,3.529,#249,3.824,3.824,#239,3.294,3.294,#339,3.353,3.353,#529,2.941,2.941
#348,3.116,3.116,#234,3.609,3.609,#426,3.043,3.043,#181,3.971,3.971,#447,2.899,2.899,#415,3.145,3.145,#590,2.826,2.826
#349,3.115,3.115,#531,2.885,2.885,#291,3.308,3.308,#332,3.692,3.692,#215,3.346,3.346,#311,3.423,3.423,#476,3.038,3.038
#350,3.111,3.111,#299,3.444,3.444,#287,3.333,3.333,#279,3.778,3.778,#160,3.481,3.481,#93,4.000,4.000,#477,3.037,3.037
#350,3.111,3.111,#138,3.833,3.833,#423,3.056,3.056,#460,3.444,3.444,#494,2.778,2.778,#527,2.889,2.889,#68,4.000,4.000
#352,3.108,3.714,#243,3.586,4.286,#406,3.108,3.714,#566,3.227,3.857,#404,2.988,3.571,#294,3.466,4.143,#235,3.586,4.286
#352,3.108,3.714,#699,2.390,2.857,#693,2.390,2.857,#672,2.988,3.571,#505,2.749,3.286,#529,2.869,3.429,#443,3.108,3.714
#354,3.107,3.107,#413,3.143,3.143,#409,3.107,3.107,#273,3.786,3.786,#177,3.429,3.429,#93,4.000,4.000,#378,3.250,3.250
#355,3.106,3.106,#341,3.319,3.319,#398,3.128,3.128,#495,3.362,3.362,#348,3.085,3.085,#271,3.511,3.511,#480,3.021,3.021
#356,3.105,3.105,#188,3.711,3.711,#391,3.132,3.132,#129,4.053,4.053,#272,3.237,3.237,#384,3.237,3.237,#219,3.632,3.632
#357,3.100,3.100,#440,3.100,3.100,#368,3.167,3.167,#137,4.033,4.033,#381,3.000,3.000,#272,3.500,3.500,#614,2.733,2.733
#357,3.100,3.100,#440,3.100,3.100,#261,3.400,3.400,#577,3.200,3.200,#531,2.700,2.700,#360,3.300,3.300,#308,3.400,3.400
