wowie_rank,wowie_score,wowie_raw_score,topic_rank,topic_score,topic_raw_score,fun_rank,fun_score,fun_raw_score,simplicity_rank,simplicity_score,simplicity_raw_score,sound_rank,sound_score,sound_raw_score,visuals_rank,visuals_score,visuals_raw_score,creativity_rank,creativity_score,creativity_raw_score
#42,3.900,3.900,#92,3.940,3.940,#76,3.880,3.880,#32,4.300,4.300,#85,3.700,3.700,#80,4.080,4.080,#114,3.880,3.880
#42,3.900,3.900,#269,3.500,3.500,#14,4.200,4.200,#1,4.800,4.800,#85,3.700,3.700,#60,4.200,4.200,#148,3.800,3.800
#42,3.900,3.900,#105,3.900,3.900,#35,4.000,4.000,#100,4.100,4.100,#148,3.500,3.500,#360,3.300,3.300,#42,4.100,4.100
#42,3.900,3.900,#5,4.400,4.400,#25,4.100,4.100,#264,3.800,3.800,#61,3.800,3.800,#394,3.200,3.200,#68,4.000,4.000
#42,3.900,3.900,#51,4.100,4.100,#35,4.000,4.000,#146,4.000,4.000,#481,2.800,2.800,#439,3.100,3.100,#68,4.000,4.000
#47,3.893,3.893,#180,3.733,3.733,#122,3.720,3.720,#180,3.973,3.973,#138,3.547,3.547,#68,4.120,4.120,#23,4.240,4.240
#48,3.889,3.889,#60,4.074,4.074,#35,4.000,4.000,#197,3.926,3.926,#18,4.111,4.111,#36,4.333,4.333,#372,3.259,3.259
#48,3.889,3.889,#352,3.296,3.296,#57,3.926,3.926,#303,3.741,3.741,#22,4.074,4.074,#8,4.611,4.611,#7,4.333,4.333
#48,3.889,3.889,#617,2.639,2.639,#54,3.944,3.944,#315,3.722,3.722,#3,4.333,4.333,#5,4.694,4.694,#326,3.361,3.361
#51,3.870,3.870,#120,3.870,3.870,#112,3.739,3.739,#55,4.217,4.217,#347,3.087,3.087,#85,4.043,4.043,#138,3.826,3.826
#52,3.864,3.864,#35,4.182,4.182,#63,3.909,3.909,#105,4.091,4.091,#186,3.409,3.409,#171,3.773,3.773,#119,3.864,3.864
#53,3.857,3.857,#228,3.619,3.619,#81,3.857,3.857,#805,2.619,2.619,#28,4.000,4.000,#178,3.762,3.762,#24,4.238,4.238
#53,3.857,3.857,#88,3.952,3.952,#16,4.190,4.190,#34,4.286,4.286,#414,2.952,2.952,#383,3.238,3.238,#7,4.333,4.333
#53,3.857,3.857,#18,4.286,4.286,#35,4.000,4.000,#146,4.000,4.000,#203,3.357,3.357,#272,3.500,3.500,#68,4.000,4.000
#56,3.846,3.846,#378,3.231,3.231,#158,3.615,3.615,#595,3.154,3.154,#69,3.769,3.769,#53,4.231,4.231,#14,4.308,4.308
#56,3.846,3.846,#98,3.923,3.923,#58,3.923,3.923,#332,3.692,3.692,#148,3.500,3.500,#63,4.154,4.154,#109,3.885,3.885
#58,3.841,3.841,#70,4.000,4.000,#46,3.977,3.977,#184,3.955,3.955,#54,3.818,3.818,#105,3.977,3.977,#224,3.614,3.614
#59,3.829,3.829,#143,3.829,3.829,#48,3.971,3.971,#187,3.943,3.943,#92,3.686,3.686,#138,3.886,3.886,#46,4.086,4.086
#60,3.828,3.828,#42,4.125,4.125,#123,3.719,3.719,#253,3.813,3.813,#98,3.672,3.672,#129,3.906,3.906,#136,3.828,3.828
#61,3.828,3.828,#182,3.724,3.724,#88,3.828,3.828,#84,4.138,4.138,#1,4.379,4.379,#88,4.034,4.034,#81,3.966,3.966
#61,3.828,3.828,#164,3.793,3.793,#35,4.000,4.000,#76,4.172,4.172,#228,3.310,3.310,#382,3.241,3.241,#154,3.793,3.793
#63,3.826,3.826,#70,4.000,4.000,#132,3.696,3.696,#91,4.130,4.130,#103,3.652,3.652,#200,3.696,3.696,#99,3.913,3.913
#64,3.824,3.824,#16,4.294,4.294,#75,3.882,3.882,#75,4.176,4.176,#105,3.647,3.647,#176,3.765,3.765,#52,4.059,4.059
#65,3.816,3.816,#265,3.531,3.531,#19,4.143,4.143,#94,4.122,4.122,#76,3.755,3.755,#123,3.918,3.918,#171,3.735,3.735
#66,3.810,3.810,#55,4.095,4.095,#68,3.905,3.905,#23,4.349,4.349,#88,3.698,3.698,#51,4.254,4.254,#455,3.095,3.095
#67,3.808,3.808,#40,4.135,4.135,#51,3.962,3.962,#103,4.096,4.096,#69,3.769,3.769,#265,3.538,3.538,#127,3.846,3.846
#67,3.808,3.808,#154,3.808,3.808,#35,4.000,4.000,#24,4.346,4.346,#426,2.923,2.923,#119,3.923,3.923,#127,3.846,3.846
#69,3.800,3.800,#22,4.280,4.280,#28,4.080,4.080,#95,4.120,4.120,#302,3.160,3.160,#68,4.120,4.120,#48,4.080,4.080
#69,3.800,3.800,#115,3.883,3.883,#189,3.550,3.550,#236,3.850,3.850,#85,3.700,3.700,#89,4.033,4.033,#4,4.400,4.400
#69,3.800,3.800,#15,4.300,4.300,#95,3.800,3.800,#528,3.300,3.300,#285,3.200,3.200,#360,3.300,3.300,#68,4.000,4.000
#72,3.795,4.000,#197,3.689,3.889,#167,3.584,3.778,#56,4.216,4.444,#64,3.795,4.000,#130,3.900,4.111,#3,4.427,4.667
#72,3.795,4.000,#461,3.057,3.222,#137,3.689,3.889,#141,4.006,4.222,#27,4.006,4.222,#289,3.479,3.667,#41,4.111,4.333
#72,3.795,4.000,#461,3.057,3.222,#272,3.373,3.556,#587,3.162,3.333,#90,3.689,3.889,#40,4.322,4.556,#237,3.584,3.778
#75,3.791,3.791,#399,3.186,3.186,#22,4.116,4.116,#134,4.047,4.047,#147,3.512,3.512,#59,4.209,4.209,#374,3.256,3.256
#76,3.783,3.783,#209,3.652,3.652,#62,3.913,3.913,#135,4.043,4.043,#133,3.565,3.565,#85,4.043,4.043,#208,3.652,3.652
#77,3.779,3.779,#558,2.805,2.805,#69,3.903,3.903,#89,4.133,4.133,#59,3.805,3.805,#55,4.221,4.221,#373,3.257,3.257
#78,3.778,3.778,#102,3.911,3.911,#72,3.889,3.889,#25,4.333,4.333,#115,3.622,3.622,#71,4.111,4.111,#40,4.111,4.111
#79,3.774,3.774,#212,3.645,3.645,#26,4.097,4.097,#17,4.387,4.387,#209,3.355,3.355,#287,3.484,3.484,#259,3.516,3.516
#80,3.773,3.773,#27,4.227,4.227,#363,3.182,3.182,#601,3.136,3.136,#95,3.682,3.682,#210,3.682,3.682,#5,4.364,4.364
#81,3.769,3.769,#171,3.769,3.769,#104,3.769,3.769,#50,4.231,4.231,#350,3.077,3.077,#119,3.923,3.923,#186,3.692,3.692
#81,3.769,3.769,#132,3.846,3.846,#133,3.692,3.692,#29,4.308,4.308,#141,3.538,3.538,#325,3.385,3.385,#314,3.385,3.385
#83,3.765,3.765,#203,3.676,3.676,#89,3.824,3.824,#188,3.941,3.941,#72,3.765,3.765,#35,4.382,4.382,#274,3.471,3.471
#84,3.762,3.762,#18,4.286,4.286,#47,3.976,3.976,#48,4.238,4.238,#271,3.238,3.238,#62,4.167,4.167,#241,3.571,3.571
#85,3.759,3.759,#119,3.870,3.870,#139,3.685,3.685,#37,4.278,4.278,#67,3.778,3.778,#231,3.630,3.630,#226,3.611,3.611
#86,3.759,3.759,#481,3.000,3.000,#100,3.793,3.793,#659,3.000,3.000,#46,3.862,3.862,#42,4.310,4.310,#59,4.034,4.034
#87,3.757,3.757,#181,3.730,3.730,#106,3.757,3.757,#256,3.811,3.811,#84,3.703,3.703,#47,4.270,4.270,#209,3.649,3.649
#88,3.750,3.750,#23,4.250,4.250,#59,3.917,3.917,#44,4.250,4.250,#430,2.917,2.917,#567,2.750,2.750,#68,4.000,4.000
#88,3.750,3.750,#58,4.083,4.083,#87,3.833,3.833,#246,3.833,3.833,#298,3.167,3.167,#248,3.583,3.583,#198,3.667,3.667
